text,to,decision,From,year
60.1   To complete the domestic process in order to ratify the International Convention on the Protection of All Persons from Enforced Disappearance as soon as possible (Albania);,france,consider,Albania,2008
60.1   Consider ratifying/Ratify the First Optional Protocol to the International Covenant on Civil and Political Rights and the Second Optional Protocol to the International Covenant on Civil and Political Rights (Albania);,japan,consider,Albania,2008
60.1.5 Ratify the International Convention on the Protection of All Persons from Enforced Disappearance (Albania);,japan,consider,Albania,2008
60.12.3 Examine as a priority the introduction of a formal moratorium on the death penalty (Albania);,japan,consider,Albania,2008
106.20   To strengthen capacities of its law enforcement agencies in order to meet the challenges of society connected with crimes and incidents which could arise as a result of traditional mentalities (Albania);,pakistan,consider,Albania,2008
"106.28   That Pakistan continue efforts to become a party to the seven core human rights treaties (Albania, Italy);",pakistan,consider,Albania,2008
"106.28   That Pakistan continue efforts to become a party to the seven core human rights treaties (Albania, Italy);",pakistan,consider,Italy,2008
"56.24   Recommended to Benin to consider , with targeted international support, the extension of free education up to the secondary level; and to continue the information campaign in favour of admitting girls to school (Algeria);",benin,consider,Algeria,2008
"83.13   While paying special tribute to the pioneering role of Brazil in developing bio fuels based on non-edible agricultural products, scale up this experience and preserve the right to food (Algeria);",brazil,support,Algeria,2008
44.3   To provide adequate protection for human rights defenders and marginalized groups against racially motivated violence (Algeria);,czechrepublic,consider,Algeria,2008
44.4   To enact anti-discrimination legislation in the field of access to private and public housing (Algeria);,czechrepublic,consider,Algeria,2008
44.7   To adhere to the International Convention on the Protection of the Rights of All Migrants Workers and Members of their Families (Algeria);,czechrepublic,consider,Algeria,2008
"60.1   To raise the school attendance rate and develop facilities at the various levels of education, while favouring gender equality and access to education, with technical and financial assistance provided by the international community (Algeria);",gabon,consider,Algeria,2008
68.1.4 and call for the international community to provide  full technical and financial support as a way of improving the national machinery for the advancement of women (Algeria);,ghana,consider,Algeria,2008
68.10.1 and to continue to give increased attention to the gender gap between girls and boys in their advancement at all levels of education (Algeria);,ghana,consider,Algeria,2008
"60.2   Implement the calls by, inter alia, the Human Rights Committee and the Committee on the Rights of the Child to establish a human rights institution in accordance with the Paris Principles as soon as possible (Algeria);",japan,consider,Algeria,2008
"60.13   Ensure that the interrogation of detainees in police custody are systematically monitored and recorded and that the Code of Criminal Procedure is harmonized with article 15 of the Convention against Torture  and article  14, paragraph 3, of the International Covenant on Civil and Political Rights, and uphold the right of defence to have access to all relevant materials (Algeria);",japan,consider,Algeria,2008
