text,to,decision,From,year,notes
67.1   Consider signing the Convention on the Rights of Persons with Disabilities (CRPD) (Canada);,albania,support,Canada,2010,
67.2   Sign and ratify CRPD and its Optional Protocol (Spain);,albania,support,Spain,2010,
67.3   Ratify CRPD (Azerbaijan);,albania,support,Azerbaijan,2010,
"67.4   Consider ratifying CRPD and its Optional Protocol, and accomplish the human rights goals set by the Human Rights Council in resolution 9/12 (Brazil);",albania,support,Brazil,2010,
67.5   Consider accession to CRPD (Jordan);,albania,support,Jordan,2010,
"67.6   Ratify the main international human rights instruments, particularly CRPD and its Optional Protocol (Chile);",albania,support,Chile,2010,
"67.7   Envisage the possibility of adhering to CRPD, which offers an important frame of reference in the area of promotion and protection of the rights of  persons with disabilities, without underestimating the cost of implementing the related norms (Algeria);",albania,support,Algeria,2010,
67.8   Continue its efforts towards harmonization of its national laws with its international human rights obligations (Egypt);,albania,implemented,Egypt,2010,
67.9   Continue to make every effort to ensure that its national legislation is in line with international instruments (Libyan Arab Jamahiriya);,albania,implemented,Libya,2010,
67.10   Continue to improve its legislation to bring it in line with international human rights standards (Senegal);,albania,implemented,Senegal,2010,
67.11   Review compliance of its criminal and civil codes with provisions on freedom of expression in the International Covenant on Civil and Political Rights (Czech Republic);,albania,implemented,Czech Republic,2010,
"67.12   Adopt the Law on the Rights of the Child and the Law against Discrimination as matters of priority, as well as measures to ensure the implementation of laws on birth registration (Norway);",albania,implemented,Norway,2010,
"67.13   Promptly adopt and amend when necessary the Law on Anti-Discrimination, already prepared with civil society, to comply with international standards and ensure its due implementation in close cooperation with all stakeholders (Slovakia);",albania,implemented,Slovakia,2010,
67.14   Pursue its efforts to bring national legislation into line with international human rights standards and take this element into account when adopting a law on the rights of children (Morocco);,albania,implemented,Morocco,2010,
67.15   Take further concrete steps to ensure that existing human rights legislation is implemented and enforced (United Kingdom);,albania,support,United Kingdom,2010,
"67.16   Strengthen its policy for the full guarantee of the rights of the child, with attention to combating child labour and the implementation of the Guidelines for the Alternative Care of Children, in accordance with Human Rights Council resolution 11/7 and draft resolution A/C.3/64/L.50 of the General Assembly. (Brazil);",albania,implemented,Brazil,2010,
67.17   Consider fostering policies on combating child trafficking and define the crimes of the sale of children and child pornography (Brazil);,albania,support,Brazil,2010,
"67.18   Fully implement the National Strategy on Gender Equality and Domestic Violence, intended to tackle violence against women (Chile);",albania,support,Chile,2010,
"67.19   Provide human rights education and training to police officers corrections officers and judicial staff aimed at the protection of women, persons of minority sexual orientation and gender identity and national minorities (Czech Republic);",albania,implemented,Czech Republic,2010,
"67.20   Recognizing the work of the National Council for Disability Matters, intensify necessary measures to improve specialized services for persons with disabilities, in particular in disadvantaged areas; develop reliable statistics on persons with disabilities and their access to basic services (Spain);",albania,implemented,Spain,2010,
"67.21   Undertake awareness-raising campaigns to ensure the effective implementation of and respect for the laws of the State, in particular by ensuring the effective investigation and prosecution of honour killings and cases of violence, including domestic violence against women and children (Austria);",albania,implemented,Austria,2010,
"67.22   Create more social awareness-raising campaigns against gender-based violence, with particular emphasis on its condemnation by the highest levels of  the Administration; and more human rights training programmes for employees in the security and justice sectors (Spain);",albania,implemented,Spain,2010,
"67.23   Implement public education and awareness programmes on issues related to  sexual orientation and gender equality and provide training to law enforcement, judicial and other relevant authorities with the same objective (Netherlands);",albania,support,Netherlands,2010,
67.24   Elaborate State policies and establish mechanisms targeting discrimination against marginalized and vulnerable categories of children (Norway);,albania,implemented,Norway,2010,
"67.25   Develop further the National Strategy for Gender Equality and Domestic Violence adopted in 2007 in accordance with the recommendations made by the Committee on Economic, Social and Cultural Rights and the Committee against Torture (Israel);",albania,support,Israel,2010,
67.26   Introduce and disseminate specific awareness-raising programmes for all relevant judicial and police personnel aimed at the protection of children from trafficking (Poland);,albania,support,Poland,2010,
67.27   Take appropriate measures to improve the effectiveness and transparency of the strategies and actions to combat corruption (Belgium);,albania,implemented,Belgium,2010,
"67.28   Further intensify the fight against corruption, especially the corruption of State officials (Slovenia);",albania,implemented,Slovenia,2010,
67.29   Strengthen its national child protection system and ensure its full implementation; intensify its efforts to raise public awareness against trafficking in children for sexual exploitation and forced labour within its National Strategy for the Fight against Trafficking in Human Beings as well as other policies and programmes; and adopt appropriate rehabilitation and reintegration mechanisms for the victims (Slovakia);,albania,implemented,Slovakia,2010,
67.30   Take further measures to promote and protect the rights of women and children (Afghanistan);,albania,implemented,Afghanistan,2010,
67.31   Continue giving priority and allocating adequate resources to the implementation of the national strategies on children and on combating child trafficking (Malaysia);,albania,support,Malaysia,2010,
"67.32   Follow up on the legal framework for gender equality and domestic violence, including its application to law enforcement and judicial authorities handling cases of domestic violence, by taking more effective measures for its enforcement and increasing public awareness about the law in smaller towns and rural areas (Norway);",albania,support,Norway,2010,
67.33   Consider issuing a standing invitation to United Nations human rights special procedures (Brazil);,albania,implemented,Brazil,2010,
67.34   Extend an open and permanent invitation to the United Nations special procedures mandate-holders (Chile);,albania,implemented,Chile,2010,
67.35   Consider extending a standing invitation to special procedures mandate-holders (Mexico);,albania,implemented,Mexico,2010,
67.36   Extend an open and permanent invitation to all special procedures (Spain);,albania,implemented,Spain,2010,
67.37   Issue invitations to all special procedures to enable them to visit the country and look into developments in the area of human rights (Syrian Arab Republic);,albania,implemented,Syria,2010,
67.38   Respond more regularly and in a timely manner to the questionnaires sent by OHCHR (Turkey);,albania,implemented,Turkey,2010,
67.39   Accelerate its efforts towards the adoption of anti-discrimination and children’s rights laws (Egypt);,albania,implemented,Egypt,2010,
"67.40   Continue and strengthen policies to combat all forms of discrimination, with special attention to discrimination against women, and establish a legal framework to combat domestic violence (Brazil);",albania,implemented,Brazil,2010,
"67.41   Take further measures to ensure equality between men and women, including through facilitation of women’s participation in public affairs and the labour market (Sweden);",albania,support,Sweden,2010,
67.42   Step up necessary measures to promote equality between men and women and strengthen the ongoing efforts for the prevention of domestic violence (Ukraine);,albania,implemented,Ukraine,2010,
"67.43   Introduce for adoption a comprehensive, all-inclusive anti.discrimination law that includes protection against discrimination on the grounds of sexual orientation and gender identity (Netherlands);",albania,implemented,Netherlands,2010,
67.44   Amend the economic aid law and the property law so that they in no circumstances discriminate against women (Netherlands);,albania,implemented,Netherlands,2010,
"67.45   Consistent with the recommendation of the Committee against Torture, strengthen the fight against impunity and look into all allegations of torture and ill-treatment committed by law enforcement authorities and prosecute those responsible for such acts (France);",albania,implemented,France,2010,
"67.46   Investigate all allegations of torture or ill-treatment, prosecute those responsible and take all measures to ensure that impunity does not prevail (Denmark);",albania,implemented,Denmark,2010,
67.47   Treat acts of torture by law enforcement officials according to the seriousness of their offence in line with previous recommendations of the Human Rights Committee (Germany);,albania,implemented,Germany,2010,
