text,to,decision,From,year
"129.1 Ratify the Rome Statute of the International Criminal Court including its Agreement on Privileges and Immunities (Slovakia, Spain);",algeria,consider,Slovakia,2012
"129.1 Ratify the Rome Statute of the International Criminal Court including its Agreement on Privileges and Immunities (Slovakia, Spain);",algeria,consider,Spain,2012
129.1.1 consider ratifying the Rome Statute of the International Criminal Court including its Agreement on Privileges and Immunities (Costa Rica);,algeria,consider,Costa Rica,2012
"129.1.2 Ratify the Rome Statute of the International Criminal Court including its Agreement on Privileges and Immunities and fully align its national legislation with all obligations under the Rome Statute (Slovenia, Latvia, Hungary) including incorporating the Rome Statute definition of crimes and  general principles, as well as adopting provisions enabling cooperation with the Court (Latvia);",algeria,consider,Latvia,2012
129.2 Ratify the 1961 Convention on the Reduction of Statelessness (Slovakia);,algeria,consider,Slovakia,2012
129.3 Sign and ratify the Optional Protocol to CRC on a communications procedure (Slovenia) or consider an early ratification of the third Optional Protocol to CRC on a communications procedure (Slovakia);,algeria,consider,Slovakia,2012
"129.4  Ratify OP-CAT (Slovenia, Sweden);",algeria,consider,Slovenia,2012
"129.4  Ratify OP-CAT (Slovenia, Sweden);",algeria,consider,Sweden,2012
"129.5  Ratify CED (Uruguay, Chile, France);",algeria,consider,Uruguay,2012
"129.5  Ratify CED (Uruguay, Chile, France);",algeria,consider,Chile,2012
"129.5  Ratify CED (Uruguay, Chile, France);",algeria,consider,France,2012
"129.6  Complete the accession (Iraq), evaluate the possibility of ratifying   (Argentina) the International Convention on the protection of all persons from enforced disappearances (Spain);",algeria,consider,Spain,2012
"129.7 Recognize at the moment of ratification the CEDÍs competence to receive and review communications from individuals, who allege that they are victims of violations in conformity with article 31 of the CED (Uruguay);",algeria,consider,Uruguay,2012
129.8 Ratify the ILO Conventions 169 and 189 (Iraq) as well as the ILO Convention on decent work for domestic workers (Burkina Faso);,algeria,consider,Burkina Faso,2012
"129.9 Ratify the international human rights instruments to which it is not yet party, especially those relating to migrant workers and members of their family (Burkina Faso);",algeria,consider,Burkina Faso,2012
"129.10 Consider taking measures to implement CRPD, including harmonizing domestic legislation with the Convention and promoting public policies to guarantee that persons with disabilities enjoy all their rights on equal conditions (Costa Rica);",algeria,consider,Costa Rica,2012
129.11 Implement the recommendations made by the Special Rapporteur on freedom of opinion and expression following his 2011 visit (France);,algeria,consider,France,2012
"129. Further strengthen laws and policies to protect the freedom of religion and belief, as well as the freedom of expression, association and assembly (Namibia);",algeria,consider,Namibia,2012
"129.14 Lift restrictions on the right to freedom of assembly, in line with the ICCPR (Norway);",algeria,consider,Norway,2012
129.15 Lift restrictions on the right to freedom of assembly and freedom of information that are contrary to the ICCPR (France);,algeria,consider,France,2012
"129.16 Promote, protect and respect the right to freedom of expression, assembly and association in compliance with countryÍs international human rights obligations (Slovakia);",algeria,consider,Slovakia,2012
129.17 Lift de jure and de facto the state of emergency in the Algiers Wilaya and fully guarantee the enjoyment of the right to freedom of expression and assembly for all citizens (Belgium);,algeria,consider,Belgium,2012
"129.18 Following the lifting of the State of Emergency in February 2011, promptly take measures to bring all other legislation and decrees in conformity with its international obligations aimed at fully ensuring freedom of expression, including on the internet, and freedom of peaceful assembly and of association (Canada);",algeria,consider,Canada,2012
129.19 Replace the Law 12-06 of 12 January 2012 by a law on association that will be more in conformity with international standards on this issue (Belgium);,algeria,consider,Belgium,2012
129.20 Continue to take measures for the holding of public meetings and assemblies in keeping with the newly adopted laws of the country (Russian Federation);,algeria,consider,Russia,2012
129.21 Release all persons who are detained solely for having exercised their freedom of expression and to revoke all legal provisions penalizing the right of freedom of expression (Switzerland);,algeria,consider,Switzerland,2012
"129.22 Prior to the next elections in 2014, review legislation in the areas of freedom of expression, association, assembly and religion to ensure full compatibility with AlgeriaÍs international obligations (United Kingdom);",algeria,consider,United Kingdom,2012
"129.23 Remove impermissible barriers to free assembly and expression, including those prohibiting demonstrations in Algiers (United States),take further measures to guarantee the right to freedom of expression, the right of peaceful assembly, and the right to freedom of association (Australia);",algeria,consider,Australia,2012
129.24 Reinforce its legal measures on strengthening political parties and electoral system (Iran (Islamic Republic of));,algeria,consider,Iran,2012
129.25 Repeal all legislative measures criminalising the exercise of the right of freedom of religion (Switzerland);,algeria,consider,Switzerland,2012
"129.26 Develop a comprehensive Women Rights Plan, aimed at eliminating discriminatory practices, as is reflected in CEDAWÍs report of February 2012 (Spain), examine systematically its laws with the aim of putting them in conformity with CEDAW (Switzerland) and continue to promote initiatives to empower women of the country at an economic, political and social level, doubling efforts to eliminate discriminatory practices which still affect them, as reflected in CEDAWÍs report of February this year (Chile);",algeria,consider,Chile,2012
129.27 Continue addressing the special needs of women in their strategy for the promotion and protection of human rights of its people (Uganda);,algeria,consider,Uganda,2012
"129.28 Continue efforts in order to increase participation of women in political, public and professional spheres (Greece) and enhance its efforts to strengthen womenÍs leadership and participation in politics and public service (Indonesia);",algeria,consider,Indonesia,2012
129.29 Continue its national policy to promote equal opportunities and treatment of women in respect of employment (Cªte dÍIvoire);,algeria,consider,Cote d'Ivoire,2012
"129.30 Review and eliminate laws that discriminate against women, especially in issues of inheritance, and bring in line with international standards (Mexico);",algeria,consider,Mexico,2012
129.31 Repeal laws that discriminate against women in order to strengthen gender equality (Namibia);,algeria,consider,Namibia,2012
"129.32 Uphold womenÍs rights so that women can fully participate in the social, cultural, economic and political spheres of their society (Namibia);",algeria,consider,Namibia,2012
"129.33 Continue to adopt legislation and strengthen policies to promote the protection of, and respect for the rights of women and their role in society and in the development process, and review related legislation in order to ensure that there is no deterioration in the legal status of women (Egypt);",algeria,consider,Egypt,2012
129.34 Continue efforts aiming at empowering women in the society (Turkey);,algeria,consider,Turkey,2012
129.35 Continue its efforts to promote and protect the rights of women (Pakistan);,algeria,consider,Pakistan,2012
