"","Counts","Proportions"
"X1951refugees",86,0.00493883879859875
"X1954.stateless",58,0.00333084477114799
"X1961.stateless",76,0.00436455521736634
"X2000traffick",1,5.74283581232413e-05
"CAT",1509,0.0866593924079711
"CCPR",1460,0.0838454028599322
"CEDAW",908,0.0521449491759031
"CPED",733,0.0420949865043358
"CRC",974,0.055935220812037
"CRPD",653,0.0375007178544765
"CTOC",36,0.00206742089243669
"HRC",733,0.0420949865043358
"ICC",625,0.0358927238270258
"ICERD",321,0.0184345029575604
"ICESR",771,0.044277264113019
"ICMW",687,0.0394532820306667
"ILO",296,0.0169987940044794
"OP",2318,0.133118934129673
"PP",917,0.0526618043990122
"UNHCR",53,0.00304370298053179
"achr",10,0.000574283581232413
"african.charter",4,0.000229713432492965
"african.democ",1,5.74283581232413e-05
"core",963,0.0553035088726813
"echr",16,0.00091885372997186
"eu.child",6,0.000344570148739448
"eu.migrant",3,0.000172285074369724
"eu.traff",5,0.000287141790616206
"eu.vaw",15,0.000861425371848619
"euro.commissioner",1,5.74283581232413e-05
"euro.minority",7,0.000401998506862689
"euro.traffick",5,0.000287141790616206
"frame.minorities",9,0.000516855223109171
"geneva",36,0.00206742089243669
"genocide",53,0.00304370298053179
"hague",20,0.00114856716246483
"ind169",4,0.000229713432492965
"int.community",527,0.0302647447309481
"int.cord",47,0.00269913283179234
"kampala",6,0.000344570148739448
"ottawa",2,0.000114856716246483
"ouagadougou",9,0.000516855223109171
"pol.women",2,0.000114856716246483
"security.council",55,0.00315855969677827
"sp.pr",1305,0.0749440073508298
"traffick",69,0.00396255671050365
"un",912,0.052374662608396
"un.indig",49,0.00281398954803882
"uncac",13,0.000746568655602136
"unesco.ed",38,0.00218227760868317
"unesco.expr",2,0.000114856716246483
"unesco.intangible",1,5.74283581232413e-05
"vienna",3,0.000172285074369724
