"","V1","V2"
"ALG","ALG","1200"
"ANG","ANG","196"
"ARG","ARG","1364"
"ARM","ARM","180"
"AUL","AUL","1017"
"AUS","AUS","1161"
"AZE","AZE","643"
"BAH","BAH","194"
"BEL","BEL","851"
"BFO","BFO","118"
"BHU","BHU","121"
"BLR","BLR","530"
"BNG","BNG","539"
"BOL","BOL","231"
"BOT","BOT","166"
"BRA","BRA","1344"
"CAM","CAM","135"
"CAN","CAN","2078"
"CAP","CAP","115"
"CDI","CDI","154"
"CHL","CHL","937"
"CHN","CHN","412"
"COL","COL","191"
"COS","COS","439"
"CUB","CUB","707"
"CYP","CYP","106"
"CZR","CZR","1238"
"DEN","DEN","379"
"DJI","DJI","294"
"DRV","DRV","535"
"ECU","ECU","776"
"EGY","EGY","871"
"EST","EST","233"
"ETM","ETM","101"
"FIN","FIN","472"
"FRN","FRN","1862"
"GHA","GHA","435"
"GMY","GMY","1076"
"GRC","GRC","257"
"GUA","GUA","161"
"HON","HON","153"
"HUN","HUN","723"
"IND","IND","183"
"INS","INS","597"
"IRE","IRE","589"
"IRN","IRN","858"
"IRQ","IRQ","196"
"ISR","ISR","436"
"ITA","ITA","1001"
"JOR","JOR","192"
"JPN","JPN","423"
"KUW","KUW","143"
"KYR","KYR","172"
"KZK","KZK","127"
"LEB","LEB","132"
"LIB","LIB","227"
"LIE","LIE","194"
"LIT","LIT","183"
"LUX","LUX","232"
"MAD","MAD","268"
"MAL","MAL","1067"
"MEX","MEX","1561"
"MLD","MLD","356"
"MNG","MNG","109"
"MOR","MOR","490"
"MYA","MYA","109"
"NAM","NAM","185"
"NEW","NEW","427"
"NIC","NIC","251"
"NIG","NIG","287"
"NOR","NOR","1685"
"NTH","NTH","1223"
"OMA","OMA","104"
"PAK","PAK","403"
"PAP","PAP","410"
"PAR","PAR","236"
"PER","PER","178"
"PHI","PHI","618"
"POL","POL","483"
"POR","POR","628"
"PRK","PRK","153"
"QAT","QAT","201"
"ROK","ROK","398"
"ROM","ROM","204"
"RUS","RUS","533"
"RWA","RWA","147"
"SAF","SAF","372"
"SAU","SAU","206"
"SEN","SEN","224"
"SIE","SIE","278"
"SIN","SIN","332"
"SLO","SLO","1081"
"SLV","SLV","1394"
"SPN","SPN","2100"
"SRI","SRI","389"
"SUD","SUD","249"
"SWD","SWD","909"
"SWZ","SWZ","954"
"THI","THI","776"
"TOG","TOG","148"
"TRI","TRI","215"
"TUN","TUN","418"
"TUR","TUR","579"
"UAE","UAE","107"
"UKG","UKG","1233"
"UKR","UKR","143"
"URU","URU","1208"
"USA","USA","1414"
"UZB","UZB","302"
"VEN","VEN","385"
"PLST","PLST","414"
