text,to,decision,From,year,notes
69.1   The establishment of an international round table to discuss the interrelation between security and fundamental freedoms (Kuwait). );,Algeria,support,Kuwait,2008,
"69.2   That Algeria share its experience in the fight against terrorism and pursue its efforts to combat poverty and promote economic, social and cultural rights with a view to achieving the Millennium Development Goals by 2015 (Sudan). );",Algeria,support,Sudan,2008,
69.3   That Algeria take appropriate measures to address violence against children; recommends the continuation of the moratorium on death penalty (Italy). );,Algeria,support,Italy,2008,
"69.4   That the State strengthen its efforts to protect womenÍs rights, including by addressing cultural and social barriers, as well as legal ones; recommends that Algeria cooperate with special procedures mandate holders; recommends that steps be taken to guarantee the rights of detainees, including immediate access to a lawyer, information to families on detentions, and ensuring that judicial authorities are informed of all detentions (United Kingdom). );",Algeria,support,United Kingdom,2008,
69.5   That Algeria take steps to ratify the International Convention for the Protection of All Persons from Enforced Disappearance (France). );,Algeria,support,France,2008,
69.6   That Algeria continue a dialogue with minority religions (The Holy See). );,Algeria,support,Holy See,2008,
"69.7   That Algeria continue and strengthen its efforts in the field of economic, social and cultural rights, in particular in the field of health (Cuba). );",Algeria,support,Cuba,2008,
69.8   That Algeria pursue the peace process and national reconciliation (Democratic Republic of Congo). );,Algeria,support,Democratic Republic of the Congo,2008,
69.9   That Algeria continue the path along national reconciliation (Jordan). );,Algeria,support,Jordan,2008,
69.10   That the State take into account the observations made by the Human Rights Committee and the Special Rapporteur on the promotion and protection of human rights while countering terrorism; recommends that Algeria consider withdrawing its reservation to article 2 of CEDAW; recommends an exchange of respective experiences at the international level on the issue of communication between Governments and civil societies; encourages Algeria to review the impact that the state of emergency has on the enjoyment of human rights (Mexico). );,Algeria,support,Mexico,2008,
69.11   That Algeria continue giving priority to tolerance and reconciliation (Saudi Arabia). );,Algeria,support,Saudi Arabia,2008,
"69.12   That Algeria implement measures to protect detainees from torture, cruel, inhuman or degrading treatment and ensure that all cases of persons detained are brought to the attention of the judiciary without delay; expresses support for the recommendation of United Kingdom regarding cooperation with special procedures mandate holders (Germany). );",Algeria,support,Germany,2008,
69.13   That Algeria pursue its efforts in the area of the right to education (Syrian Arab Republic). );,Algeria,support,Syria,2008,
69.14   That Algeria take steps to adopt a legal framework to protect children from trafficking and to define trafficking as a criminal offence under domestic law; recommends that Algeria integrate the gender perspective in the follow-up process to the UPR (Slovenia). );,Algeria,support,Slovenia,2008,
"69.15   That Algeria take measures for the prevention of torture and other cruel, inhuman and degrading treatment; recommends the review of domestic legislation to criminalize domestic violence (Sweden). );",Algeria,support,Sweden,2008,
69.16   That Algeria consider facilitating visits by human rights mandate holders (Brazil). );,Algeria,support,Brazil,2008,
"69.17   That Algeria take initiatives to strengthen gender mainstreaming and womenÍs rights. It also recommended that the State pursue its efforts to combat poverty (Nigeria).  With respect to special procedures, Algeria will consider the requests for visits of mandate-holders keeping in mind its statutory right to determine the appropriateness of such visits.  );",Algeria,support,Nigeria,2008,
"64.1   To pursue its efforts to counter discrimination in whatever form, in particular towards the most vulnerable sectors of the population in the follow-up to the Durban Conference and the recommendations of the Committee on the Elimination of Racial Discrimination. (Algeria, Republic of Korea, Nigeria, Mexico);",Argentina,support,Algeria,2008,
"64.1   To pursue its efforts to counter discrimination in whatever form, in particular towards the most vulnerable sectors of the population in the follow-up to the Durban Conference and the recommendations of the Committee on the Elimination of Racial Discrimination. (Algeria, Republic of Korea, Nigeria, Mexico);",Argentina,support,South Korea,2008,
"64.1   To pursue its efforts to counter discrimination in whatever form, in particular towards the most vulnerable sectors of the population in the follow-up to the Durban Conference and the recommendations of the Committee on the Elimination of Racial Discrimination. (Algeria, Republic of Korea, Nigeria, Mexico);",Argentina,support,Nigeria,2008,
