from,text,decision,to,paragraph,year,topics
Croatia,"Enhance efforts to eliminate discrimination against Afghan women and to promote leadership and equal participation in political, peace and reconciliation processes (Croatia); ",support,Afghanistan,69,2014,"['race and minorities', 'women and family']"
Turkmenistan,Introduce and adopt a gender strategy that would be implemented in the higher education institutions (Turkmenistan); ,support,Afghanistan,68,2014,"['torture', 'health ande education', 'women and family']"
United States of America,"Fully implement the National Strategy on Gender Equality and Against Gender-Based and Domestic Violence and build up the capacity of the police force to deal with such cases, including through additional training programs to help police identify and assist survivors of domestic violence (United States of America); ",support,Albania,54,2014,"['torture', 'women and family']"
France,"Take action to effectively prevent and fight violence against women, particularly domestic violence (France); ",support,Albania,55,2014,['women and family']
Hungary,"Undertake a deep analysis of protection orders for victims of domestic violence that were broken, in order to identify the root causes and take appropriate measures to secure the safety of the victims (Hungary); ",support,Albania,52,2014,['women and family']
Croatia,"Organize awareness-raising campaigns at the national level, and especially in rural areas, aimed at preventing violence against children at home and in all institutions in which children are present (Croatia); ",support,Albania,53,2014,"['children', 'women and family']"
Ireland,"Establish appropriate shelters and social services for victims of domestic violence, as well as a system of victim compensation and reintegration (Ireland); ",support,Albania,50,2014,['women and family']
Slovenia,Ensure that cases of domestic violence are properly investigated and prosecuted (Slovenia); ,support,Albania,57,2014,['women and family']
Canada,Ensure that all of Afghanistan’s religious communities are able to practice their religion freely and that their right to freedom of religion or belief is protected in any new legislation or legislation currently under review (Canada); ,support,Afghanistan,61,2014,['religion']
Bahrain,"Comply with its CEDAW obligations, and undertake further steps to empower women at all levels by creating more employment opportunities and increasing their rights in participation in decision-making (Bahrain); ",support,Afghanistan,60,2014,['women and family']
Czech Republic,Implement and enforce provisions on freedom of religious worship set out in the Constitution and international human rights treaties to which it is a party (Czech Republic); ,support,Afghanistan,63,2014,"['human rights', 'religion']"
Mexico,Ensure freedom of religion in the legislation and in practice and promote tolerance through awareness-raising campaigns and free access to information (Mexico); ,support,Afghanistan,62,2014,['religion']
Iran (Islamic Republic of),"Further facilitate access to health services and education, especially for women and children (Iran (Islamic Republic of)); ",support,Afghanistan,65,2014,"['torture', 'health ande education', 'children', 'women and family']"
Cuba,Continue efforts to guarantee health care at both levels identified (Cuba); ,support,Afghanistan,64,2014,['health ande education']
South Sudan,"Continue strengthening access to education, in particular, to orphans, children with disabilities and children of missing parents (South Sudan); ",support,Afghanistan,67,2014,"['torture', 'health ande education', 'disabilities', 'children']"
Pakistan,"Take further steps to provide access to education and healthcare for all citizens, particularly in rural areas where there is an immediate need (Pakistan); ",support,Afghanistan,66,2014,"['torture', 'health ande education']"
Australia,"Strengthen efforts to improve access to housing, health services, education and employment for both the Roma and Egyptian communities (Australia); ",support,Albania,103,2014,"['torture', 'health ande education', 'socioeconomic rights', 'race and minorities']"
Venezuela (Bolivarian Republic of),"Further strengthen the education measures and policies for the inclusion of Roma students in the education system, and intensify the literacy campaigns for its population (Venezuela (Bolivarian Republic of)); ",support,Albania,102,2014,"['torture', 'health ande education', 'race and minorities']"
Slovakia,"Step up efforts to implement effectively the National Strategy and Action Plan for the Decade of Roma Inclusion with a view to improving the living conditions of the Roma community and, if necessary, to adopt measures to improve the education of Roma children (Slovakia); ",support,Albania,101,2014,"['torture', 'health ande education', 'socioeconomic rights', 'race and minorities', 'children']"
Democratic Republic of the Congo,Continue the implementation of the national strategy regarding the Roma and the National Action Plan relating to the decade for the inclusion of the Roma (Democratic Republic of the Congo); ,support,Albania,100,2014,"['rule of law', 'race and minorities']"
Chile,"Develop a comprehensive Women Rights Plan, aimed at eliminating discriminatory practices, as is reflected in CEDAW’s report of February 2012 (Spain), examine systematically its laws with the aim of putting them in conformity with CEDAW (Switzerland) and continue to promote initiatives to empower women of the country at an economic, political and social level, doubling efforts to eliminate discriminatory practices which still affect them, as reflected in CEDAW’s report of February this year (Chile); ",support,Algeria,26,2012,"['socioeconomic rights', 'women and family']"
Iran (Islamic Republic of),Reinforce its legal measures on strengthening political parties and electoral system (Iran (Islamic Republic of)); ,support,Algeria,24,2012,['rule of law']
Lithuania,"Provide the necessary assistance to the victims of domestic violence, including through the adoption of rehabilitation and reintegration programmes (Lithuania); ",support,Albania,51,2014,['women and family']
Switzerland,Repeal all legislative measures criminalising the exercise of the right of freedom of religion (Switzerland); ,support,Algeria,25,2012,"['rule of law', 'religion', 'speech']"
Turkey,Advance the reform and the transformation process in accordance with the aspirations of the fraternal Algerian people (Turkey); ,support,Algeria,51,2012,[]
Sierra Leone,"Take steps to improve the situation of asylum seekers and refugees through, inter alia, discontinuing the practice of detention of unaccompanied children, providing identification documents for refugees and ensuring their access to social assistance, implementing integration and housing programmes, as well as refraining from detaining asylum seekers, except as a last resort (Sierra Leone). ",support,Albania,105,2014,"['torture', 'socioeconomic rights', 'migrants / refugees / trafficking ', 'children']"
Nicaragua,Take into account its international human rights commitments when conducting the process of institutional and national policies reforms started in 2011 (Nicaragua); ,support,Algeria,50,2012,['human rights']
Republic of Moldova,"Implement the Additional Protocol to the United Nations Convention on Organized Transnational Crime to prevent, prosecute and punish human trafficking, particularly the trafficking of women and children (Republic of Moldova); ",consider,Andorra,15,2011,"['migrants / refugees / trafficking ', 'children', 'women and family']"
France,Ensure the development of a human rights-based migration policy which guarantees respect of the rights of all migrants (France); ,support,Albania,104,2014,"['human rights', 'socioeconomic rights', 'migrants / refugees / trafficking ']"
Spain,"Allocate more resources to support the on-going reform process aimed at consolidating democracy and the rule of law (Malaysia);continue to consolidate the process (Oman), to further strengthen the country’s democratization and the Rule of Law, with special focus on human rights (Spain); ",support,Algeria,53,2012,"['human rights', 'torture', 'rule of law']"
Uganda,Continue addressing the special needs of women in their strategy for the promotion and protection of human rights of its people (Uganda); ,support,Algeria,27,2012,"['human rights', 'women and family']"
Pakistan,Further the on-going reform process in order to consolidate democracy and rule of law (Pakistan); ,support,Algeria,52,2012,['rule of law']
Sweden,"Allow foreign residents to vote in local elections, and take all necessary measures to ensure the enjoyment by non-citizens of human rights in general (Sweden); ",reject,Andorra,1,2011,"['human rights', 'rule of law']"
Belgium,"Take all the necessary measures to improve the effectiveness and transparency of efforts aimed at combating corruption, in particular by intensifying its efforts to diligently and rapidly respond to the recommendations and questions of the national ombudsman (Belgium); ",support,Albania,80,2014,['rule of law']
Austria,"Continue to raise awareness of the needs of the Roma population, in particular children, and establish an adequate system that provides for their social and educational inclusion (Austria). ",consider,Albania,37,2014,"['torture', 'health ande education', 'race and minorities', 'children']"
Maldives,Conduct outreach programmes in rural areas in order to ensure that women with disabilities are not discriminated against or socially excluded (Maldives); ,consider,Albania,36,2014,"['disabilities', 'women and family']"
Portugal,"Take measures to effectively address the high dropout rates from school, especially of girls in primary education (Portugal); ",consider,Albania,35,2014,"['torture', 'health ande education', 'women and family']"
Slovenia,"Take effective measures to reduce the high dropout rate in primary schools, in particular with regard to Roma children (Slovenia); ",consider,Albania,34,2014,"['health ande education', 'race and minorities', 'children']"
Sweden,"That the Parliament, the Government and all political parties take concrete steps to create a more enabling environment for Albanian women to advance in political and public positions (Sweden); ",consider,Albania,33,2014,['women and family']
Rwanda,"Increase the number of women in political and public life in both national and local government bodies and address gender stereotypes that perpetrate discrimination against women (Rwanda), ",consider,Albania,32,2014,"['race and minorities', 'women and family']"
Romania,Adopt legislation on the restitution of the properties confiscated during the communist period (Romania); ,consider,Albania,31,2014,"['torture', 'race and minorities']"
Togo,"Prevent effectively infractions with a racist or xenophobic motivation, conduct investigations and bring the perpetrators to justice (Togo); ",consider,Albania,30,2014,['race and minorities']
Iceland,Reinforce the implementation of the Law on the Elimination of Violence against Women (Iceland); ,support,Afghanistan,141,2014,['women and family']
Germany,"Ensure early presentation of the report on the implementation of the Law for the Elimination of Violence against Women, effective and nation-wide implementation of that Law and comprehensive collection of data, monitoring and evaluation to further identify weaknesses in implementation, and to ensure continuing conformity of the law for the Elimination of Violence against Women with CEDAW (Germany); ",support,Afghanistan,140,2014,['women and family']
Italy,Take further steps to ensure full implementation of the Elimination of Violence against Women law also taking into account the respect for the provisions contained in international treaties that Afghanistan has signed (Italy); ,support,Afghanistan,143,2014,['women and family']
Ireland,"Put in place within six months a concrete plan, covering the next two-year period, to improve implementation of the 2009 Law on the Elimination of Violence Against Women, including the measures recommended to Afghanistan by the Committee on the Elimination of Discrimination against Women in July 2013 (Ireland); ",support,Afghanistan,142,2014,"['race and minorities', 'women and family']"
Maldives,Strengthen legislation and enforcement of the law to end violence against women and promotion and protection of human rights of women and girls (Maldives); ,support,Afghanistan,145,2014,"['human rights', 'women and family']"
Malaysia,Continue measures in eliminating discrimination against women through the implementation of its Law on the Elimination of Violence against Women (Malaysia); ,support,Afghanistan,144,2014,"['race and minorities', 'women and family']"
Norway,Adopt measures in order to strengthen the knowledge of the Elimination of Violence against Women Law within the police and the judiciary to guarantee effective implementation of the law (Norway); ,support,Afghanistan,147,2014,"['torture', 'rule of law', 'women and family']"
New Zealand,Ensure effective enforcement of the Law on Violence against Women (New Zealand); ,support,Afghanistan,146,2014,['women and family']
Portugal,"Implement fully the Law on the Elimination of Violence against Women and refrain from approving any new legislation which may compromise the implementation of the Convention on the Elimination of All Forms of Discrimination against Women, to which Afghanistan is party (Portugal); ",support,Afghanistan,149,2014,"['race and minorities', 'women and family']"
Philippines,Step up efforts to effectively implement the Elimination of Violence against Women law and the programs outlined in the National Action Plan for Afghan Women (Philippines); ,support,Afghanistan,148,2014,['women and family']
Belgium,"Ensure that all complaints of domestic violence are seriously investigated, with the protection of victims and the prosecution of the perpetrators, in accordance with existing legislation, in particular through raising the awareness of police forces on such issues (Belgium); ",support,Albania,59,2014,"['torture', 'women and family']"
Brazil,Continue to strengthen its consistent efforts to combat violence against women (Lebanon) and its efforts support to women victims of domestic violence and to bring offenders to justice (Brazil); ,support,Algeria,40,2012,['women and family']
Morocco,"Establish a system for data collection to better evaluate the situation of migrants, and consolidate efforts to ensure that their rights are respected (Morocco). ",consider,Andorra,30,2011,['migrants / refugees / trafficking ']
Slovenia,Raise awareness of  children’s right to participation in the family and community (Slovenia); ,support,Albania,86,2014,"['children', 'women and family']"
Hungary,"Share the experiences of the special tool for gender equality, the “equality mark”, with other countries (Hungary); ",support,Andorra,18,2011,['women and family']
Sierra Leone,Strengthen monitoring mechanisms which address incidents of forced child labour and further combat the trafficking of children (Sierra Leone); ,reject,Albania,2,2014,"['socioeconomic rights', 'migrants / refugees / trafficking ', 'children']"
