"","Counts","Proportions"
"X1951refugees",86,0.00218668158356429
"X1954.stateless",58,0.00147473874240382
"X1961.stateless",76,0.00193241628314984
"X2000traffick",1,2.54265300414452e-05
"CAT",1509,0.0383686338325409
"CCPR",1460,0.0371227338605101
"CEDAW",908,0.0230872892776323
"CPED",733,0.0186376465203794
"CRC",974,0.0247654402603677
"CRPD",653,0.0166035241170637
"CTOC",36,0.000915355081492029
"HRC",733,0.0186376465203794
"ICC",625,0.0158915812759033
"ICERD",321,0.00816191614330392
"ICESR",771,0.0196038546619543
"ICMW",687,0.0174680261384729
"ILO",296,0.00752625289226779
"OP",2318,0.0589386966360701
"PP",917,0.0233161280480053
"UNHCR",53,0.0013476060921966
"achr",10,0.000254265300414452
"african.charter",4,0.000101706120165781
"african.democ",1,2.54265300414452e-05
"core",963,0.0244857484299118
"echr",16,0.000406824480663124
"eu.child",6,0.000152559180248671
"eu.migrant",3,7.62795901243357e-05
"eu.traff",5,0.000127132650207226
"eu.vaw",15,0.000381397950621679
"euro.commissioner",1,2.54265300414452e-05
"euro.minority",7,0.000177985710290117
"euro.traffick",5,0.000127132650207226
"frame.minorities",9,0.000228838770373007
"geneva",36,0.000915355081492029
"genocide",53,0.0013476060921966
"hague",20,0.000508530600828905
"ind169",4,0.000101706120165781
"int.community",527,0.0133997813318416
"int.cord",47,0.00119504691194793
"kampala",6,0.000152559180248671
"ottawa",2,5.08530600828905e-05
"ouagadougou",9,0.000228838770373007
"pol.women",2,5.08530600828905e-05
"security.council",55,0.00139845915227949
"sp.pr",1305,0.033181621704086
"traffick",69,0.00175443057285972
"un",912,0.0231889953977981
"un.indig",49,0.00124589997203082
"uncac",13,0.000330544890538788
"unesco.ed",38,0.000966208141574919
"unesco.expr",2,5.08530600828905e-05
"unesco.intangible",1,2.54265300414452e-05
"vienna",3,7.62795901243357e-05
