"","V1","V2"
"AFG","AFG","82"
"ALB","ALB","64"
"ALG","ALG","1200"
"ANG","ANG","196"
"ARG","ARG","1364"
"ARM","ARM","180"
"AUL","AUL","1017"
"AUS","AUS","1161"
"AZE","AZE","643"
"BAH","BAH","194"
"BAR","BAR","2"
"BEL","BEL","851"
"BEN","BEN","47"
"BFO","BFO","118"
"BHU","BHU","121"
"BLR","BLR","530"
"BNG","BNG","539"
"BOL","BOL","231"
"BOS","BOS","93"
"BOT","BOT","166"
"BRA","BRA","1344"
"BRU","BRU","68"
"BUI","BUI","78"
"BUL","BUL","93"
"CAM","CAM","135"
"CAN","CAN","2078"
"CAO","CAO","12"
"CAP","CAP","115"
"CDI","CDI","154"
"CEN","CEN","25"
"CHA","CHA","71"
"CHL","CHL","937"
"CHN","CHN","412"
"COL","COL","191"
"COM","COM","14"
"CON","CON","93"
"COS","COS","439"
"CRO","CRO","72"
"CUB","CUB","707"
"CYP","CYP","106"
"CZR","CZR","1238"
"DEN","DEN","379"
"DJI","DJI","294"
"DOM","DOM","26"
"DRC","DRC","89"
"DRV","DRV","535"
"ECU","ECU","776"
"EGY","EGY","871"
"EQG","EQG","9"
"ERI","ERI","21"
"EST","EST","233"
"ETH","ETH","91"
"ETM","ETM","101"
"FIN","FIN","472"
"FRN","FRN","1862"
"GAB","GAB","57"
"GHA","GHA","435"
"GMY","GMY","1076"
"GRC","GRC","257"
"GRG","GRG","7"
"GUA","GUA","161"
"HAI","HAI","52"
"HON","HON","153"
"HUN","HUN","723"
"ICE","ICE","68"
"IND","IND","183"
"INS","INS","597"
"IRE","IRE","589"
"IRN","IRN","858"
"IRQ","IRQ","196"
"ISR","ISR","436"
"ITA","ITA","1001"
"JAM","JAM","8"
"JOR","JOR","192"
"JPN","JPN","423"
"KEN","KEN","22"
"KUW","KUW","143"
"KYR","KYR","172"
"KZK","KZK","127"
"LAO","LAO","30"
"LAT","LAT","87"
"LEB","LEB","132"
"LES","LES","24"
"LIB","LIB","227"
"LIE","LIE","194"
"LIT","LIT","183"
"LUX","LUX","232"
"MAA","MAA","47"
"MAC","MAC","55"
"MAD","MAD","268"
"MAG","MAG","27"
"MAL","MAL","1067"
"MAS","MAS","43"
"MEX","MEX","1561"
"MLD","MLD","356"
"MLI","MLI","18"
"MLT","MLT","1"
"MNC","MNC","10"
"MNG","MNG","109"
"MON","MON","0"
"MOR","MOR","490"
"MYA","MYA","109"
"MZM","MZM","17"
"NAM","NAM","185"
"NEP","NEP","71"
"NEW","NEW","427"
"NIC","NIC","251"
"NIG","NIG","287"
"NIR","NIR","52"
"NOR","NOR","1685"
"NTH","NTH","1223"
"OMA","OMA","104"
"PAK","PAK","403"
"PAN","PAN","23"
"PAP","PAP","410"
"PAR","PAR","236"
"PER","PER","178"
"PHI","PHI","618"
"POL","POL","483"
"POR","POR","628"
"PRK","PRK","153"
"QAT","QAT","201"
"ROK","ROK","398"
"ROM","ROM","204"
"RUS","RUS","533"
"RWA","RWA","147"
"SAF","SAF","372"
"SAL","SAL","34"
"SAU","SAU","206"
"SEN","SEN","224"
"SEY","SEY","4"
"SIE","SIE","278"
"SIN","SIN","332"
"SLO","SLO","1081"
"SLV","SLV","1394"
"SOL","SOL","5"
"SOM","SOM","32"
"SPN","SPN","2100"
"SRI","SRI","389"
"SSD","SSD","64"
"SUD","SUD","249"
"SWA","SWA","9"
"SWD","SWD","909"
"SWZ","SWZ","954"
"SYR","SYR","97"
"TAJ","TAJ","69"
"TAZ","TAZ","16"
"THI","THI","776"
"TKM","TKM","60"
"TOG","TOG","148"
"TRI","TRI","215"
"TUN","TUN","418"
"TUR","TUR","579"
"UAE","UAE","107"
"UGA","UGA","66"
"UKG","UKG","1233"
"UKR","UKR","143"
"URU","URU","1208"
"USA","USA","1414"
"UZB","UZB","302"
"VAN","VAN","1"
"VEN","VEN","385"
"WSM","WSM","0"
"YEM","YEM","74"
"YUG","YUG","90"
"ZAM","ZAM","26"
"ZIM","ZIM","81"
"PLST","PLST","414"
