,x,,,,,,,,,
1,water council access high resolution security food commissioner safe sanitation,,,,,,,,,Food + Sanitation
2,convention international protection ratify rights persons workers enforced migrant ratifying,,,,,,,,,ICMW
3,death penalty moratorium abolition abolish view abolishing executions establish de,,,,,,,,,Death penalty
4,ensure law implementation legislation adoption implement steps laws process legislative,,,,,,,,,Law
5,women equality participation measures gender continue equal efforts public men,,,,,,,,,Gender equality
6,children persons disabilities rights women continue vulnerable groups federation russian,,,,,,,,,vulnerable populations
7,child children labour measures exploitation sexual armed prostitution trafficking abuse,,,,,,,,,trafficking
8,optional protocol rights ratify convention international covenant iccpr political civil,,,,,,,,,op
9,discrimination racial measures combat racism xenophobia efforts intolerance hate prevent,,,,,,,,,ethnic + race
10,rights social continue economic human efforts cultural promote protect people,,,,,,,,,Social economic rights
11,discrimination gender women violence measures based sexual orientation eliminate adopt,,,,,,,,,
12,ensure violations rights justice human investigate perpetrators cases torture responsible,,,,,,,,,impunity
13,code criminal provisions legislation penal sex amend law repeal sexual,,,,,,,,,
14,detention conditions improve measures prisoners prison system prisons ensure justice,,,,,,,,,
15,resources ensure independence judiciary commission system provide adequate northern great,,,,,,,,,
16,international assistance community cooperation technical support human rights seek relevant,,,,,,,,,international assistance
17,continue development efforts countries share practices economic achieve goals make,,,,,,,,,mgd
18,rights human national principles paris institution establish accordance independent commission,,,,,,,,,paris principles
19,freedom expression ensure media assembly journalists including association rights guarantee,,,,,,,,,speech
20,rights human continue protection promotion strengthen efforts national mechanisms framework,,,,,,,,,
21,national plan action implement implementation strategy develop comprehensive policy programme,,,,,,,,,
22,international rights human legislation standards law obligations ensure line accordance,,,,,,,,,
23,law training rights human enforcement police officials education security judicial,,,,,,,,,police + secuity officials
24,awareness raising public rights campaigns education human programmes raise continue,,,,,,,,,public awareness raising
25,put age place end marriage minimum forced practice responsibility early,,,,,,,,,forced marriage
26,continue efforts aimed state improving inter work situation implementing alia,,,,,,,,,
27,torture punishment treatment convention degrading cruel inhuman corporal protocol optional,,,,,,,,,torture
28,indigenous peoples hiv aids land communities people rights implement declaration,,,,,,,,,health  + land rights
29,education children ensure access efforts school continue measures girls areas,,,,,,,,,education
30,ensure legal measures access workers system justice adopt law guarantee,,,,,,,,,justice
31,continue poverty efforts social programmes policies development aimed people economic,,,,,,,,,poverty + development
32,minorities religious ethnic discrimination groups measures minority roma including respect,,,,,,,,,minorities
33,society civil recommendations process review follow organizations upr implementation universal,,,,,,,,,migrants
34,refugees asylum migrants seekers persons displaced status return migration internally,,,,,,,,,migrants
35,health access education services care continue improve areas ensure measures,,,,,,,,,health + education
36,discrimination elimination women forms committee female convention genital mutilation cedaw,,,,,,,,,cedaw
37,statute court criminal international ratify national legislation fully icc crimes,,,,,,,,,icc
38,special procedures rights human invitation standing rapporteur council extend visit,,,,,,,,,spec proc
39,violence women trafficking measures domestic victims combat efforts children including,,,,,,,,,trafficking
40,national elections government level political state council law democratic federal,,,,,,,,,
