"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","TREE_LABEL","TREE_PROB","CONSENSUS_CODE","CONSENSUS_AGREE","PROBABILITY_CODE"
"1","2",0.867839230922877,"2",0.994513069473486,"2",0.880797077977882,"2",1,"2",0.96,"2",0.9,2,6,2
"2","1",0.398965935184806,"3",0.494268702235484,"3",0.5,"3",0.88,"3",0.59,"3",0.873015873015873,3,5,3
"3","3",0.53431831773128,"2",0.834279305548648,"3",0.5,"2",0.64,"2",0.435,"2",0.551020408163265,2,4,2
"4","2",0.832137112528084,"2",0.988743733554901,"2",0.982013790037908,"2",1,"2",0.96,"2",0.9,2,6,2
"5","3",0.635109440133254,"3",0.925174712623871,"3",0.5,"3",1,"3",0.875,"3",0.873015873015873,3,6,3
"6","4",0.408164721772509,"3",0.675000284221416,"3",0.982013790037908,"3",1,"3",0.465,"3",0.873015873015873,3,5,3
"7","2",0.948690435776472,"2",0.999669943431642,"2",0.982013790037908,"2",0.8,"2",0.805,"2",0.9,2,6,2
"8","3",0.671716158323892,"3",0.969934378604674,"3",0.5,"3",1,"3",0.885,"3",0.873015873015873,3,6,3
"9","2",0.580891344585075,"1",0.539444864387913,"2",0.982013790037908,"2",0.92,"2",0.665,"2",0.9,2,5,2
"10","3",0.612711334457457,"3",0.940231683525842,"3",0.5,"3",1,"3",0.875,"3",0.873015873015873,3,6,3
"11","2",0.948440950008177,"2",0.997742804411725,"2",0.880797077977882,"2",0.56,"2",0.685,"2",0.9,2,6,2
"12","2",0.716373475662917,"2",0.96524830683814,"2",0.5,"2",0.72,"2",0.585,"2",0.551020408163265,2,6,2
"13","2",0.926518954392569,"2",0.997848417016187,"2",0.880797077977882,"2",0.8,"2",0.7,"2",0.9,2,6,2
"14","2",0.8781475205631,"2",0.993760135913562,"2",0.880797077977882,"2",1,"2",0.825,"2",0.9,2,6,2
"15","2",0.931923287313862,"2",0.988231566497803,"2",0.880797077977882,"2",1,"2",0.97,"2",0.9,2,6,2
"16","2",0.708144200866788,"2",0.996616367353648,"3",0.982013790037908,"2",0.92,"2",0.595,"2",0.551020408163265,2,5,2
"17","2",0.86243187218745,"2",0.987748348613193,"2",0.880797077977882,"2",0.52,"2",0.62,"2",0.551020408163265,2,6,2
"18","2",0.86243187218745,"2",0.987748348613193,"2",0.880797077977882,"2",0.52,"2",0.62,"2",0.551020408163265,2,6,2
"19","2",0.86243187218745,"2",0.987748348613193,"2",0.880797077977882,"2",0.52,"2",0.62,"2",0.551020408163265,2,6,2
"20","2",0.86243187218745,"2",0.987748348613193,"2",0.880797077977882,"2",0.52,"2",0.62,"2",0.551020408163265,2,6,2
"21","2",0.910113531808296,"2",0.846434601940207,"2",0.880797077977882,"2",0.68,"2",0.76,"2",0.9,2,6,2
"22","2",0.910113531808296,"2",0.846434601940207,"2",0.880797077977882,"2",0.68,"2",0.76,"2",0.9,2,6,2
"23","3",0.830962331211266,"3",0.934750561123039,"3",0.880797077977882,"3",0.96,"3",0.545,"3",0.873015873015873,3,6,3
"24","3",0.830962331211266,"3",0.934750561123039,"3",0.880797077977882,"3",0.96,"3",0.545,"3",0.873015873015873,3,6,3
"25","3",0.590380249613395,"3",0.999401583666855,"3",0.880797077977882,"3",1,"3",0.655,"3",0.873015873015873,3,6,3
"26","3",0.590380249613395,"3",0.999401583666855,"3",0.880797077977882,"3",1,"3",0.655,"3",0.873015873015873,3,6,3
"27","3",0.590380249613395,"3",0.999401583666855,"3",0.880797077977882,"3",1,"3",0.655,"3",0.873015873015873,3,6,3
"28","3",0.590380249613395,"3",0.999401583666855,"3",0.880797077977882,"3",1,"3",0.655,"3",0.873015873015873,3,6,3
"29","3",0.590380249613395,"3",0.999401583666855,"3",0.880797077977882,"3",1,"3",0.655,"3",0.873015873015873,3,6,3
"30","2",0.845906332411716,"2",0.993127665847711,"2",0.880797077977882,"2",1,"2",0.935,"2",0.9,2,6,2
"31","2",0.848901021268597,"2",0.996210677040513,"2",0.997527376843365,"2",1,"2",0.84,"2",0.9,2,6,2
"32","2",0.590470765086481,"2",0.917050425272969,"2",0.5,"2",0.92,"2",0.865,"2",0.567567567567568,2,6,2
"33","2",0.540522063311288,"2",0.54922403545903,"2",0.880797077977882,"2",0.84,"2",0.705,"2",0.9,2,6,2
"34","2",0.540522063311288,"2",0.54922403545903,"2",0.880797077977882,"2",0.84,"2",0.705,"2",0.9,2,6,2
"35","2",0.540522063311288,"2",0.54922403545903,"2",0.880797077977882,"2",0.84,"2",0.705,"2",0.9,2,6,2
"36","2",0.951453204218296,"2",0.996092638804473,"2",0.982013790037908,"2",1,"2",0.995,"2",0.9,2,6,2
"37","2",0.911410449946841,"2",0.820152647410672,"2",0.982013790037908,"2",0.92,"2",0.78,"2",0.9,2,6,2
"38","2",0.922497653559946,"2",0.994914266138778,"2",0.880797077977882,"2",1,"2",0.995,"2",0.9,2,6,2
"39","3",0.688866819878139,"3",0.978885670228085,"3",0.5,"3",0.92,"3",0.765,"3",0.873015873015873,3,6,3
"40","3",0.688866819878139,"3",0.978885670228085,"3",0.5,"3",0.92,"3",0.765,"3",0.873015873015873,3,6,3
"41","3",0.688866819878139,"3",0.978885670228085,"3",0.5,"3",0.92,"3",0.765,"3",0.873015873015873,3,6,3
