From,text,decision,to,notes,year,id
Mexico,83.8 Enhance access to justice as well as improve the judicial system (Mexico);,support,Brazil,,2008,92
Tunisia,"58.14 To continue to work on improving the situation of childrenÍs rights (Algeria, Tunisia);",consider,Romania,,2008,690
Czech Republic,"58.1.4 ratify the Optional Protocol to the Convention against Torture and Other Cruel, Inhuman or Degrading or Punishment in the near future and designating of an effective national preventive mechanism (Czech Republic);",consider,Romania,,2008,699
Algeria,"56.21 To protect the children and families of migrants and refugees (Algeria, Ecuador) and to accede to the International Convention on Protection of the Rights of All Migrant Workers and Members of Their Families. (Algeria, Ecuador and Egypt) );",consider,United Kingdom,,2008,962
Mexico,"58.5 To train in human rights judges working in the local courts, administering Zambian customary law, in particular, in respect to the human rights of women and children and a gender perspective and to promote a flexible and effective system of reviewing sentences, so as to guarantee the due process of law (Mexico);",support,Zambia,,2008,1011
Bangladesh,"95.95 Identify specific challenges confronting the country, prioritize them in line with the needs and aspirations of its citizens and then seek support from the international community to face these challenges in a systematic and verifiable manner (Bangladesh);",support,Afghanistan,,2009,1168
Cameroon,"92.2 Finalize various outstanding treaty reports, particularly to the Committee on the Elimination of Discrimination against Women (Cameroon);",consider,Botswana,,2009,1514
Holy See,77.7 Put in place a special law that will take into consideration the land rights of the pygmyÓ communities (Holy See). );,consider,Cameroon,,2009,1836
Portugal,75.22 Use the revision of the Criminal Procedure and Criminal Codes to tackle the question of the death penalty (Portugal);,consider,Centeral African Republic,,2009,2110
Nigeria,"92.5 Improve the legislative and judicial sectors of Jordan particularly in the areas of gender mainstreaming, sexual harassment and economic exploitation of children (Nigeria);",support,Jordan,,2009,3155
Sudan,"104.15 Continue exercising its sovereign right of adopting national legislation and the penal code, including the application of the death penalty (Egypt, Sudan);",support,Malaysia,,2009,3450
Portugal,94.1 Enact a definition of organized crime consistent with the United Nations Convention against Transnational Organized Crime (Portugal) );,consider,Mexico,,2009,3856
Italy,"57.8.1 and take all appropriate measures, in the fields of legislation, implementation and awareness-raising, to tackle domestic violence against women and children (Italy);",consider,Serbia,,2009,4385
Brazil,"69.4 To strengthen its policy on prevention and combat of child labour and on the full guarantee of the rights of the child, with special attention to children without parental care (Brazil);",support,Turkmenistan,,2009,4574
Indonesia,91.13 To continue efforts to strengthen the rights of women and to further the advancement and development of womenÕs rights in the international dimension (Indonesia);,support,United Arab Emirates,,2009,4702
Sweden,"92.8 To step up efforts to ensure that economic, social and cultural rights of migrant workers are fully respected (Sweden);",consider,United Arab Emirates,,2009,4733
Djibouti,78.8.2 Establish promptly its planned national human rights institution in accordance with the Paris Principles so as to facilitate the application of the main international human rights instruments (Djibouti);,support,Uruguay,,2009,4760
