From,text,sentiment,decision,to,year,id
Albania,"60.1.1 Ratify the Optional Protocol to the Convention against Torture (United Kingdom, Albania, Mexico, Brazil);",2,consider,Japan,2008,296
United States,60.21 Permit international monitors to examine immigration detention centres (United States of America);,2,consider,Japan,2008,350
Belarus,78.17 Take part in international activities to promote and protect human rights on the basis of an equitable and mutually respectful dialogue (Belarus);,2,consider,Netherlands,2008,474
Mexico,106.27.6 ratify the 1977 Additional Protocols to the Geneva Conventions (Mexico);,2,consider,Pakistan,2008,558
Sweden,"54.6 Recommended to Poland to adopt an anti-discrimination law that would ensure equal treatment and non-discrimination on any grounds, including sexual orientation and gender identity (Slovenia, United Kingdom and Sweden);",2,consider,Poland,2008,681
Finland,"58.8 To investigate and prosecute those responsible for the attacks on peaceful lesbian and gay activists and ensure that future LGBT gatherings, including the annual GayFests, are both permitted and protected by the Romanian authorities (Finland);",2,consider,Romania,2008,707
Cuba,96.6 Continue with national programmes already undertaken to reduce any form of discrimination against women until it is totally eliminated (Cuba);,3,consider,Azerbaijan,2009,1182
Chile,77.8.1 promote the abolition of the death penalty (Chile);,2,consider,Barbados,2009,1464
Egypt,"92.27.5 seek the assistance of OHCHR and the international community in relation to human rights education, improving the justice system and strengthening the monitoring of progress in achieving the Millennium Development Goals and the goals of Vision 2016 (Egypt). );",2,consider,Botswana,2009,1602
Italy,"98.10.1 improve detention facilities and overall detention conditions, also by means of training law enforcement officials in human rights (Italy);",2,support,Burkina Faso,2009,1630
France,"76.36 Continue its efforts to ensure equal access to education throughout its territory for all, without distinction as to sex or social origins (France);",3,support,Cameroon,2009,1815
Azerbaijan,"82.45 Continue its efforts, if necessary, in cooperation with United Nations agencies, namely UNICEF to combat the recruitment of children into military forces and to reintegrate children released from the army into normal life (Azerbaijan);",3,support,Chad,2009,2177
Austria,"82.47 Release underage fighters from its military forces and effectively prosecute persons who are responsible for recruiting children for armed groups, in particular in camps and villages in Eastern Chad, criminalize recruitment of children under domestic laws and establish a national institution to coordinate the release and reintegration of released children, as agreed during the visit of the Secretary-GeneralÕs Special Representative in May 2008 (Austria);",2,support,Chad,2009,2180
Switzerland,"87.44 That high-ranking State officials publicly express the recognition of the importance of the role played by human rights defenders, in order to support and protect the legitimate work of human rights defenders and trade union workers (Switzerland);",2,support,Colombia,2009,2503
Morocco,"65.47 Continue efforts to promote school attendance of children and to fight illiteracy through specific programmes for the most vulnerable population, especially in rural areas (Morocco);",3,support,Comoros,2009,2586
Germany,79.4.1 enhance the mandate and capacity of the National Human Rights Commission and bring it into line with the Paris Principles (Germany);,2,support,Congo,2009,2611
