from_COW,From,to_COW,sentiment,text,decision,id,to,theme,notes,year,action,institutions
NA,NA,850,4,"77.7 Capacity-building/cooperation/sharing of best practices: (a) Indonesia is encouraged to consider engaging in further dialogue at the regional and international level, and share best practices, as requested by States during the interactive dialogue; (b) Indonesia is encouraged to identify its capacity building needs related to the Universal Periodic Review follow-up and seek regional and international cooperation in this regard, including through integration of the Universal Periodic Review recommendations, as appropriate, into its national development strategy and into its dialogue with relevant stakeholders through existing mechanisms. Such capacity-building needs could pertain, inter alia, to issues such as harmonization of local laws with national and international standards or to strengthening national human rights institutions; (c) It was recommended that additional capacity-building measures be taken in support of programmes and projects on women and children. (None);",support,293,Indonesia,"['children', 'women']",,2008,"['harmonize', 'cooperate', 'assistance']",['HRC']
696,United Arab Emirates,770,4,106.43 That achievements in reducing poverty and illiteracy be emulated by other countries (United Arab Emirates). );,consider,587,Pakistan,"['education', 'poverty']",,2008,[],[]
40,Cuba,290,4,54.22 Recommended to Poland to continue to promote the participation of women in the public and political life of the country until they have gradually achieved a level of gender equality (Cuba);,consider,664,Poland,"['discrimination', 'women', 'women-political']",,2008,['continue'],[]
663,Jordan,560,4,"67.19 Recommended that South Africa make available to the Human Rights Council, as an example of sharing best practices, some of its initiatives relating to combating racism and xenophobia as well as promoting tolerance and coexistence among ethnic and religious minorities (Jordan);",consider,755,South Africa,"['race', 'religion', 'ethnic']",,2008,[],['HRC']
40,Cuba,225,4,"57.14 To consider increasing its assistance to developing countries, contributing thereby to the realization of the right to development and the achievement of the Millennium Development Goals (Cuba);",consider,845,Switzerland,['poverty'],,2008,[],[]
651,Egypt,200,4,"56.20 That the example of the United Kingdom in issuing, in principle, a specific law dealing with incitement to racial and religious hatred, be emulated as a good practice in countries which have not done so, in implementation of article 20(2) of ICCPR and its stipulated purpose. (Egypt) );",consider,973,United Kingdom,"['race', 'religion']",,2008,['implement'],['CCPR']
40,Cuba,551,4,"58.18 To share the experiences and good practices which have enabled Zambia to obtain significant results in the field of education, particularly the access of girls to education and training (Cuba);",support,998,Zambia,"['education', 'children', 'women']",,2008,[],[]
140,Brazil,700,4,"95.25 Pursue, within the context of paragraph 1(d) of Human Rights Council resolution 9/12, the achievement of its MDGs in the areas of health and education through national plans of action (Brazil);",support,1098,Afghanistan,"['education', 'health']",,2009,[],['HRC']
670,Saudi Arabia,700,4,95.84 Continue the progress achieved and continue expanding the realization of the right to education for all sectors of society and the dissemination of the human rights culture through educational curricula (Saudi Arabia);,support,1157,Afghanistan,['education'],,2009,['continue'],[]
385,Norway,373,4,96.15.6 Ensure that its media regulations promote diversity among media outlets in line with international standards and best practices (Norway);,consider,1212,Azerbaijan,['speech'],,2009,[],[]
840,Philippines,373,4,96.19 Share best practices in promoting religious tolerance and harmony in society (Philippines);,consider,1226,Azerbaijan,['religion'],,2009,[],[]
615,Algeria,373,4,96.24 Continue its efforts in the reduction of poverty and to envisage the sharing of best practices with interested countries (Algeria);,consider,1244,Azerbaijan,['poverty'],,2009,['continue'],[]
40,Cuba,31,4,"52.11 To continue its positive efforts and share its experiences, best practices and lessons learned, such as in the field of women's rights and the empowerment of women, and in the struggle against racism and racial discrimination (Cuba). );",support,1295,Bahamas,"['race', 'discrimination', 'women']",,2009,['continue'],[]
40,Cuba,771,4,94.14 Pursue its positive efforts for the promotion and protection of the rights of women (Cuba);,consider,1372,Bangladesh,['women'],,2009,[],[]
40,Cuba,771,4,"94.33 Pursue its positive efforts to promote and protect the right to education, including the education of girls (Cuba);",consider,1419,Bangladesh,"['education', 'children', 'women']",,2009,[],[]
820,Malaysia,771,4,"94.35 Share its experience and best practices in realization of the right to food and the fight against poverty, in particular in the area of micro-credit, with other developing countries (Malaysia). );",consider,1423,Bangladesh,"['food', 'poverty']",,2009,[],[]
625,Sudan,771,4,"94.36.5 Share, with the Sudan and other least developing and developing countries its best practice of social safety nets and empowerment (Sudan). );",consider,1429,Bangladesh,['poverty'],,2009,[],[]
325,Italy,53,4,"77.13 Take appropriate legislative and administrative measures to fight against domestic violence and physical abuse of children, and engage in an exchange of information with those countries that are developing best practices in these fields (Italy);",consider,1476,Barbados,"['children', 'sex-violence', 'women']",,2009,['take-measures'],[]
820,Malaysia,53,4,77.20 Continue with the positive efforts made in the field of education and share its experience in this area with other countries (Malaysia);,consider,1495,Barbados,['education'],,2009,['continue'],[]
210,Netherlands,439,4,98.11 Share best practices with other countries regarding female genital mutilation (Netherlands);,support,1631,Burkina Faso,"['sex-violence', 'women']",,2009,[],[]
40,Cuba,439,4,"98.26 Continue its positive efforts in the promotion and protection of human rights, including, with the support of developed countries, through its commitment to allocate 0.7 per cent of GDP to ODA (Cuba);",support,1673,Burkina Faso,[],,2009,['continue'],[]
560,South Africa,710,4,114.8 Intensify its engagement with the international community to exchange best practices and cooperation on law enforcement supervision and training with a view to contributing to its judicial reform processes on the basis of equality and mutual respect (South Africa);,support,2377,China,"['police', 'discrimination', 'judiciary']",,2009,['cooperate'],['int-community']
840,Philippines,710,4,"114.28 Share best practices with other developing countries on poverty reduction programmes and strategies, especially in rural areas (Philippines);",support,2400,China,['poverty'],,2009,[],[]
820,Malaysia,710,4,114.28.2 Share its experiences and best practices in the field of reduction of poverty and improvement of standards of living with other developing countries (Malaysia);,support,2402,China,['poverty'],,2009,[],[]
615,Algeria,710,4,114.40 Share with interested developing countries their good practices in the implementation of this concept of Scientific Outlook on Development (Algeria);,support,2415,China,[],,2009,['implement'],[]
540,Angola,710,4,114.42 Share good practices that allowed China to achieve poverty reduction targets set in the United Nations Millennium Development Goals (Angola). );,support,2417,China,['poverty'],,2009,[],['un']
