"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","MANUAL_CODE","CONSENSUS_CODE","CONSENSUS_AGREE","CONSENSUS_INCORRECT","PROBABILITY_CODE","PROBABILITY_INCORRECT"
"1","2",0.934710933479488,"2",1,"2",0.999821058165476,"2",0.999954602131298,"2",0.88,"2",0.94,"2",0.999645373385393,"2",0.769230769230769,2,2,8,0,2,0
"2","2",0.928100927512471,"2",1,"2",0.983618330465994,"2",0.999664649869534,"2",0.76,"2",0.895,"2",0.99962437577953,"2",1,2,2,8,0,2,0
"3","3",0.715525832494612,"1",1,"3",0.658633616391614,"3",0.999999168471972,"3",1,"2",0.575,"1",0.684048365334693,"3",0.695652173913043,3,3,5,0,1,1
"4","2",0.950917009875822,"2",1,"2",0.999999999941765,"2",0.999999887464838,"2",1,"2",0.945,"2",0.999751853705591,"2",1,2,2,8,0,2,0
"5","2",0.950666013008078,"2",1,"2",0.999999998242948,"2",0.999999887464838,"2",1,"2",0.995,"2",0.999752476016666,"2",1,2,2,8,0,2,0
"6","2",0.883009414521472,"2",1,"2",0.999999979692727,"2",0.999954602131298,"2",0.88,"2",0.78,"2",0.999600434747898,"1",0.4,2,2,7,0,2,0
"7","2",0.926665697529234,"2",1,"2",0.983588648944333,"2",0.999664649869534,"2",0.96,"2",0.895,"2",0.999035203760915,"2",1,2,2,8,0,2,0
"8","2",0.909468811572176,"2",1,"2",0.634825127849521,"2",0.997527376843365,"2",0.88,"2",0.915,"2",0.999161665811346,"2",1,2,2,8,0,2,0
"9","2",0.899807944714923,"2",1,"2",0.998850354747408,"2",0.999993855825398,"2",1,"2",0.75,"2",0.998761960529695,"2",1,2,2,8,0,2,0
"10","2",0.937772832034652,"2",1,"2",0.998483592840989,"2",0.999664649869534,"2",1,"2",0.98,"2",0.999638959255474,"2",1,2,2,8,0,2,0
"11","2",0.92062294189055,"2",1,"2",0.893257962296728,"2",0.997527376843365,"2",1,"2",0.875,"2",0.99930734564771,"2",1,2,2,8,0,2,0
"12","3",0.719664520646874,"3",1,"2",0.909827046379714,"3",0.999954602131298,"3",1,"2",0.585,"3",0.607577429898127,"3",0.695652173913043,3,3,6,0,3,0
"13","2",0.957534471007549,"2",1,"2",0.999919758125688,"2",0.999999984770021,"2",1,"2",0.985,"2",0.999713545770738,"2",1,2,2,8,0,2,0
"14","2",0.9581249974019,"2",1,"2",0.999997192367096,"2",0.999999887464838,"2",1,"2",0.965,"2",0.999733386912283,"2",1,2,2,8,0,2,0
"15","2",0.944620776043515,"2",1,"2",0.999999998131026,"2",0.999999999994891,"2",1,"2",0.875,"2",0.999752260909782,"2",1,2,2,8,0,2,0
"16","3",0.874223716601331,"1",1,"2",0.75686335200293,"3",0.999999984770021,"3",1,"2",0.65,"3",0.987271160608856,"3",0.695652173913043,3,3,5,0,1,1
"17","2",0.903479050374196,"2",1,"2",0.998751946718067,"2",0.999664649869534,"2",1,"2",0.935,"2",0.999157384158094,"2",1,2,2,8,0,2,0
"18","2",0.916994925290671,"2",1,"2",0.999987208638729,"2",0.999999887464838,"2",1,"2",0.81,"2",0.999654162162945,"2",1,2,2,8,0,2,0
"19","3",0.622873111025163,"3",1,"3",0.963150719757233,"3",0.999999984770021,"3",0.52,"2",0.505,"3",0.982973989237645,"3",0.695652173913043,3,3,7,0,3,0
"20","2",0.87426568644677,"2",1,"2",0.936290550306392,"2",0.999954602131298,"2",1,"2",0.825,"2",0.97005249764452,"2",1,2,2,8,0,2,0
"21","2",0.927725237933734,"2",1,"2",0.999999999993097,"2",0.999999887464838,"2",1,"2",0.855,"2",0.999751577244311,"2",1,2,2,8,0,2,0
"22","2",0.943118647906834,"2",1,"2",0.999995612684852,"2",0.999999168471972,"2",1,"2",0.97,"2",0.999713684380789,"2",1,2,2,8,0,2,0
"23","2",0.934755234456443,"2",1,"2",0.99999961497601,"2",0.999999984770021,"2",1,"2",0.81,"2",0.999725895571858,"2",1,2,2,8,0,2,0
"24","2",0.89669923165991,"1",1,"3",0.495312963869721,"2",0.999954602131298,"2",1,"2",0.905,"2",0.98344611489382,"2",1,2,2,6,0,1,1
