"","To","To_COW","Session"
"1","Algeria","ALG",1
"2","Argentina","ARG",1
"3","Bahrain","BAH",1
"4","Brazil","BRA",1
"5","Czech Republic","CZR",1
"6","Ecuador","ECU",1
"7","Finland","FIN",1
"8","India","IND",1
"9","Indonesia","INS",1
"10","Morocco","MOR",1
"11","Netherlands","NTH",1
"12","Philippines","PHI",1
"13","Poland","POL",1
"14","South Africa","SAF",1
"15","Tunisia","TUN",1
"16","United Kingdom","UKG",1
"17","Benin","BEN",2
"18","France","FRN",2
"19","Gabon","GAB",2
"20","Ghana","GHA",2
"21","Guatemala","GUA",2
"22","Japan","JPN",2
"23","Mali","MLI",2
"24","Pakistan","PAK",2
"25","Peru","PER",2
"26","Republic of Korea","ROK",2
"27","Romania","ROM",2
"28","Sri Lanka","SRI",2
"29","Switzerland","SWZ",2
"30","Tonga","TON",2
"31","Ukraine","UKR",2
"32","Zambia","ZAM",2
"33","Bahamas","BHM",3
"34","Barbados","BAR",3
"35","Botswana","BOT",3
"36","Burkina Faso","BFO",3
"37","Burundi","BUI",3
"38","Cape Verde","CAP",3
"39","Colombia","COL",3
"40","Israel","ISR",3
"41","Liechtenstein","LIE",3
"42","Luxembourg","LUX",3
"43","Montenegro","MNG",3
"44","Serbia","SRB",3
"45","Turkmenistan","TKM",3
"46","Tuvalu","TUV",3
"47","United Arab Emirates","UAE",3
"48","Uzbekistan","UZB",3
"49","Azerbaijan","AZE",4
"50","Bangladesh","BNG",4
"51","Cameroon","CAO",4
"52","Canada","CAN",4
"53","China","CHN",4
"54","Cuba","CUB",4
"55","Djibouti","DJI",4
"56","Germany","GMY",4
"57","Jordan","JOR",4
"58","Malaysia","MAL",4
"59","Mauritius","MAS",4
"60","Mexico","MEX",4
"61","Nigeria","NIG",4
"62","Russian Federation","RUS",4
"63","Saudi Arabia","SAU",4
"64","Senegal","SEN",4
"65","Afghanistan","AFG",5
"66","Belize","BLZ",5
"67","Central African Republic","CEN",5
"68","Chad","CHA",5
"69","Chile","CHL",5
"70","Comoros","COM",5
"71","Macedonia FYR","MAC",5
"72","Malta","MLT",5
"73","Monaco","MNC",5
"74","New Zealand","NEW",5
"75","Republic of Congo","CON",5
"76","Slovakia","SLO",5
"77","Uruguay","URU",5
"78","Vanuatu","VAN",5
"79","Viet Nam","DRV",5
"80","Yemen","YEM",5
"81","Albania","ALB",6
"82","Bhutan","BHU",6
"83","Brunei Darussalam","BRU",6
"84","Cambodia","CAM",6
"85","Costa Rica","COS",6
"86","Cote d'Ivoire","CDI",6
"87","Cyprus","CYP",6
"88","Democratic Republic of Congo","DRC",6
"89","Dominica","DMA",6
"90","Dominican Republic","DOM",6
"91","DPR Korea","PKR",6
"92","Equatorial Guinea","EQG",6
"93","Eritrea","ERI",6
"94","Ethiopia","ETH",6
"95","Norway","NOR",6
"96","Portugal","POR",6
"97","Angola","ANG",7
"98","Bolivia","BOL",7
"99","Bosnia & Herzegovina","BOS",7
"100","Egypt","EGY",7
"101","El Salvador","SAL",7
"102","Fiji","FIJ",7
"103","Gambia","GAM",7
"104","Iran","IRN",7
"105","Iraq","IRQ",7
"106","Italy","ITA",7
"107","Kazakhstan","KZK",7
"108","Madagascar","MAG",7
"109","Nicaragua","NIC",7
"110","Qatar","QAT",7
"111","San Marino","SNM",7
"112","Slovenia","SLV",7
"113","Armenia","ARM",8
"114","Belarus","BLR",8
"115","Grenada","GRN",8
"116","Guinea","GUI",8
"117","Guinea Bissau","GNB",8
"118","Guyana","GUY",8
"119","Kenya","KEN",8
"120","Kiribati","KIR",8
"121","Kuwait","KUW",8
"122","Kyrgyzstan","KYR",8
"123","Laos","LAO",8
"124","Lesotho","LES",8
"125","Spain","SPN",8
"126","Sweden","SWD",8
"127","Turkey","TUR",8
"128","Andorra","AND",9
"129","Bulgaria","BUL",9
"130","Croatia","CRO",9
"131","Honduras","HON",9
"132","Jamaica","JAM",9
"133","Lebanon","LEB",9
"134","Liberia","LBR",9
"135","Libya","LIB",9
"136","Malawi","MAW",9
"137","Maldives","MAD",9
"138","Marshall Islands","MSI",9
"139","Mauritania","MAA",9
"140","Micronesia","FSM",9
"141","Mongolia","MON",9
"142","Panama","PAN",9
"143","United States","USA",9
"144","Australia","AUL",10
"145","Austria","AUS",10
"146","Estonia","EST",10
"147","Georgia","GRG",10
