"","Asylum.seekers...refugees","CP.rights...general","Civil.society","Corruption","Counter.terrorism","Death.penalty","Detention","Development","Disabilities","ESC.rights...general","Elections","Enforced.disappearances","Environment","Extrajudicial.executions","Freedom.of.association.and.peaceful.assembly","Freedom.of.movement","Freedom.of.opinion.and.expression","Freedom.of.religion.and.belief","Freedom.of.the.press","General","HIV...Aids","Human.rights.defenders","Human.rights.education.and.training","Human.rights.violations.by.state.agents","Impunity","Indigenous.peoples","Internally.displaced.persons","International.humanitarian.law","International.instruments","Justice","Labour","Migrants","Minorities","NHRI","National.plan.of.action","Other","Poverty","Public.security","Racial.discrimination","Right.to.education","Right.to.food","Right.to.health","Right.to.housing","Right.to.land","Right.to.water","Rights.of.the.Child","Sexual.Orientation.and.Gender.Identity","Special.procedures","Technical.assistance.and.cooperation","Torture.and.other.CID.treatment","Trafficking","Treaty.bodies","UPR.process","Women.s.rights"
"ALG",0.0223642172523962,0.0308166409861325,0.00389105058365759,0.00921658986175115,0.0261437908496732,0.00233644859813084,0.00929668552950687,0.0632911392405063,0.0243161094224924,0.0319516407599309,0.0169491525423729,0,0.0387096774193548,0,0.00140056022408964,0.0196078431372549,0.00164338537387017,0.0185792349726776,0.00102986611740474,0.0353634577603143,0.0468085106382979,0.0016260162601626,0.0166002656042497,0,0.00269541778975741,0.00953678474114441,0.0246913580246914,0.0238095238095238,0.0219226407962706,0.0107563025210084,0.0586868099941894,0.0625,0.0172612197928654,0.0463432295438088,0.031634446397188,0.0151869158878505,0.0608695652173913,0.0398406374501992,0.0325149303251493,0.032560706401766,0.064,0.0257320319432121,0.0410958904109589,0.0245398773006135,0.0184049079754601,0.0188679245283019,0,0,0.0898395721925134,0.00573936529372046,0.0144092219020173,0.0303555941023417,0.00203665987780041,0.0222158520854235
"ANG",0.00159744408945687,0,0.00518806744487678,0.00921658986175115,0,0.00058411214953271,0,0.0112517580872011,0.00151975683890578,0.00345423143350604,0,0,0,0,0,0,0,0.00109289617486339,0.00102986611740474,0.00392927308447937,0.00851063829787234,0,0.00132802124833997,0,0.00269541778975741,0.0136239782016349,0,0.00238095238095238,0.00113392969635883,0.00302521008403361,0.00232423009877978,0.00416666666666667,0.00345224395857307,0.000724112961622013,0.0070298769771529,0.00116822429906542,0.0111801242236025,0.00796812749003984,0.0053085600530856,0.00993377483443709,0,0.00532386867790594,0,0,0,0.00398834177021015,0,0.00198807157057654,0.00855614973262032,0.00236326806212019,0.00360230547550432,0.00520381613183001,0.00610997963340122,0.0050164827289666
"ARG",0.0431309904153355,0.0338983050847458,0.0012970168612192,0,0.0130718954248366,0.0356308411214953,0.0145513338722716,0,0.0516717325227964,0.0276338514680484,0.00423728813559322,0.182041820418204,0,0.00826446280991736,0.00140056022408964,0,0.00657354149548069,0.0163934426229508,0.00205973223480947,0.00196463654223969,0.025531914893617,0.0032520325203252,0.0112881806108898,0.00704225352112676,0.045822102425876,0.00544959128065395,0.0246913580246914,0.0261904761904762,0.0429633362731511,0.00907563025210084,0.0371876815804765,0.0452380952380952,0.0230149597238205,0.0144822592324403,0.00527240773286467,0.0175233644859813,0.00372670807453416,0,0.0305242203052422,0.00386313465783664,0,0.000887311446317658,0,0,0,0.0133456051541647,0.043859649122807,0.00795228628230616,0.00748663101604278,0.0256583389601621,0.0151296829971182,0.00780572419774501,0.00407331975560081,0.0190626343700731
"ARM",0,0.00308166409861325,0,0,0,0,0.000808407437348424,0.00281293952180028,0.00227963525835866,0.000863557858376511,0,0.003690036900369,0.00645161290322581,0,0,0,0.00246507806080526,0.0087431693989071,0,0.00196463654223969,0,0,0.0119521912350598,0,0.00808625336927224,0.00136239782016349,0,0.00238095238095238,0.00365377346604511,0.00773109243697479,0.000581057524694945,0.00178571428571429,0.0126582278481013,0,0.0070298769771529,0.00233644859813084,0.00124223602484472,0,0.0046449900464499,0.00717439293598234,0,0.00354924578527063,0,0,0,0.00230096640589047,0,0.00132538104705103,0.00106951871657754,0.00135043889264011,0.00288184438040346,0.00173460537727667,0.00203665987780041,0.00243657732549807
"AUL",0.00958466453674121,0.0184899845916795,0.0207522697795071,0.0368663594470046,0.0065359477124183,0.048481308411215,0.0214227970897332,0.00140646976090014,0.0167173252279635,0.0103626943005181,0.0211864406779661,0.002460024600246,0.00645161290322581,0.0413223140495868,0.0476190476190476,0.0294117647058824,0.0451930977814297,0.0163934426229508,0.0350154479917611,0.0157170923379175,0.0127659574468085,0.0308943089430894,0.00796812749003984,0.0316901408450704,0.0134770889487871,0.00953678474114441,0.0308641975308642,0.0285714285714286,0.0229305783041451,0.0272268907563025,0.010459035444509,0.00416666666666667,0.0207134637514384,0.0253439536567705,0.0228471001757469,0.0175233644859813,0.00248447204968944,0.0159362549800797,0.0112806901128069,0.00772626931567329,0,0.0106477373558119,0.0136986301369863,0.0184049079754601,0.00613496932515337,0.0153397760392698,0.0339912280701754,0.00861497680583168,0.00748663101604278,0.0175557056043214,0.0129682997118156,0.00520381613183001,0.00203665987780041,0.0174860255123979
"AUS",0.0111821086261981,0.0277349768875193,0.0492866407263294,0.032258064516129,0.0261437908496732,0.0186915887850467,0.0367825383993533,0.00281293952180028,0.0167173252279635,0.00949913644214162,0.0296610169491525,0.00738007380073801,0.00645161290322581,0.0330578512396694,0.0224089635854342,0,0.0230073952341824,0.033879781420765,0.0453141091658084,0.00785854616895874,0,0.0260162601626016,0.0212483399734396,0.051056338028169,0.0269541778975741,0.0258855585831063,0.0802469135802469,0.0333333333333333,0.0171349376338667,0.0326050420168067,0.00755374782103428,0.00535714285714286,0.0368239355581128,0.00434467776973208,0.0175746924428823,0.00934579439252336,0.00248447204968944,0.0159362549800797,0.019907100199071,0.00883002207505519,0.008,0.0062111801242236,0.0182648401826484,0.0306748466257669,0.0184049079754601,0.0219358797361559,0.0142543859649123,0.0185553346587144,0.0053475935828877,0.024645509790682,0.00792507204610951,0.0190806591500434,0.0570264765784114,0.0170560412784865
"AZE",0.00958466453674121,0,0.0012970168612192,0.0276497695852535,0,0.00292056074766355,0.00606305578011318,0.0168776371308017,0.0113981762917933,0.00518134715025907,0,0.002460024600246,0.0129032258064516,0.00413223140495868,0.00280112044817927,0,0.00164338537387017,0.0109289617486339,0.00411946446961895,0.0471512770137525,0.0127659574468085,0.00650406504065041,0.0126162018592297,0.0105633802816901,0.0134770889487871,0.0149863760217984,0.0308641975308642,0.0142857142857143,0.0100793750787451,0.00605042016806723,0.0145264381173736,0.0142857142857143,0.00632911392405063,0.0181028240405503,0.0210896309314587,0.00817757009345794,0.0434782608695652,0.0119521912350598,0.0145985401459854,0.0149006622516556,0.044,0.0141969831410825,0.0091324200913242,0,0.0122699386503067,0.0101242521859181,0,0.0125911199469848,0.0128342245989305,0.00810263335584065,0.0223342939481268,0.0225498699045967,0.0264765784114053,0.0150494481868998
"BAH",0,0.00308166409861325,0.0012970168612192,0.00921658986175115,0,0,0.00161681487469685,0.00562587904360056,0.00531914893617021,0.00259067357512953,0,0,0,0,0,0,0,0.00327868852459016,0,0.00392927308447937,0,0,0.00398406374501992,0,0,0.00136239782016349,0,0.00476190476190476,0.00113392969635883,0.00168067226890756,0.00290528762347472,0.00119047619047619,0.00402761795166858,0.00144822592324403,0.00527240773286467,0.00116822429906542,0.00372670807453416,0.00796812749003984,0.0059721300597213,0.00551876379690949,0.004,0.0150842945874002,0.0182648401826484,0,0,0.00368154624942476,0,0.000662690523525514,0.00106951871657754,0.00101282916948008,0.00648414985590778,0,0.00203665987780041,0.00515981080693708
"BEL",0.012779552715655,0.00770416024653313,0.0168612191958495,0.0230414746543779,0.0130718954248366,0.0455607476635514,0.0149555375909458,0,0.00379939209726444,0.00172711571675302,0,0.00984009840098401,0,0.0165289256198347,0.0406162464985994,0.00980392156862745,0.0336894001643385,0.014207650273224,0.0247167868177137,0.00196463654223969,0.00851063829787234,0.0357723577235772,0.0132802124833997,0.0193661971830986,0.0377358490566038,0.00272479564032698,0.00617283950617284,0.0214285714285714,0.0133551719793373,0.0188235294117647,0.00813480534572923,0.00238095238095238,0.0109321058688147,0.0057929036929761,0.0123022847100176,0.0116822429906542,0.00496894409937888,0.00398406374501992,0.0106171201061712,0.00772626931567329,0.008,0.0115350488021295,0.0045662100456621,0.0245398773006135,0,0.0153397760392698,0.0328947368421053,0.0139165009940358,0.00213903743315508,0.0131667792032411,0.0122478386167147,0.00520381613183001,0.00610997963340122,0.0149061201089293
"BFO",0.00159744408945687,0,0.0012970168612192,0,0.0065359477124183,0,0.000808407437348424,0.00281293952180028,0.00303951367781155,0.000863557858376511,0.00423728813559322,0.00492004920049201,0,0,0,0,0,0,0,0.00589390962671906,0,0,0.00265604249667995,0,0,0,0,0.00476190476190476,0.00529167191634119,0.00168067226890756,0.010459035444509,0.0119047619047619,0.000575373993095512,0.00868935553946416,0.00351493848857645,0.00116822429906542,0.00372670807453416,0,0.0019907100199071,0.0033112582781457,0,0.000887311446317658,0,0.00613496932515337,0,0.00383494400981746,0,0.00265076209410205,0.0106951871657754,0.00270087778528022,0.00360230547550432,0.00520381613183001,0.00407331975560081,0.00214992116955712
