"","Asylum.seekers...refugees","CP.rights...general","Civil.society","Corruption","Counter.terrorism","Death.penalty","Detention","Development","Disabilities","ESC.rights...general","Elections","Enforced.disappearances","Environment","Extrajudicial.executions","Freedom.of.association.and.peaceful.assembly","Freedom.of.movement","Freedom.of.opinion.and.expression","Freedom.of.religion.and.belief","Freedom.of.the.press","General","HIV...Aids","Human.rights.defenders","Human.rights.education.and.training","Human.rights.violations.by.state.agents","Impunity","Indigenous.peoples","Internally.displaced.persons","International.humanitarian.law","International.instruments","Justice","Labour","Migrants","Minorities","NHRI","National.plan.of.action","Other","Poverty","Public.security","Racial.discrimination","Right.to.education","Right.to.food","Right.to.health","Right.to.housing","Right.to.land","Right.to.water","Rights.of.the.Child","Sexual.Orientation.and.Gender.Identity","Special.procedures","Technical.assistance.and.cooperation","Torture.and.other.CID.treatment","Trafficking","Treaty.bodies","UPR.process","Women.s.rights"
"AFG",0.0046801872074883,0,0.00126742712294043,0.00444444444444444,0,0,0.000399042298483639,0.00128040973111396,0.00435097897026831,0,0.00408163265306122,0.00121654501216545,0,0,0,0,0,0,0,0.00343642611683849,0,0,0.00431832202344232,0,0,0,0,0,0.00134573036457059,0.000971188086759469,0.000554323725055432,0.00114220445459737,0.000554938956714761,0.0055286800276434,0.00163398692810458,0.00111234705228031,0.00114678899082569,0,0.000649350649350649,0.00257334019557385,0,0.00164744645799012,0,0,0,0.00307422046552481,0,0.00130463144161774,0.00100502512562814,0.000328299409061064,0.0027378507871321,0.000836120401337793,0,0.0021959923140269
"ALG",0.0218408736349454,0.0303951367781155,0.00380228136882129,0.00888888888888889,0.0258064516129032,0.00231749710312862,0.0091779728651237,0.057618437900128,0.0232052211747643,0.0305532617671346,0.0163265306122449,0,0.0365853658536585,0,0.00139664804469274,0.0192307692307692,0.00163132137030995,0.0181236673773987,0.00102145045965271,0.0309278350515464,0.0450819672131148,0.00162074554294976,0.0154225786551511,0,0.00265957446808511,0.00921052631578947,0.0235294117647059,0.0231481481481481,0.0212870075850257,0.010359339592101,0.0559866962305987,0.0599657338663621,0.0166481687014428,0.0442294402211472,0.0294117647058824,0.014460511679644,0.0561926605504587,0.037593984962406,0.0318181818181818,0.0303654143077715,0.0627450980392157,0.0238879736408567,0.0393013100436681,0.0236686390532544,0.0178571428571429,0.018006148440931,0,0,0.0844221105527638,0.00558108995403808,0.0136892539356605,0.0292642140468227,0.00194174757281553,0.0212736755421356
"ANG",0.0015600624024961,0,0.00506970849176172,0.00888888888888889,0,0.000579374275782155,0,0.0102432778489117,0.00145032632342277,0.00330305532617671,0,0,0,0,0,0,0,0.00106609808102345,0.00102145045965271,0.00343642611683849,0.00819672131147541,0,0.00123380629241209,0,0.00265957446808511,0.0131578947368421,0,0.00231481481481481,0.00110105211646685,0.00291356426027841,0.00221729490022173,0.00399771559109081,0.00332963374028857,0.000691085003455425,0.0065359477124183,0.00111234705228031,0.0103211009174312,0.0075187969924812,0.00519480519480519,0.00926402470406588,0,0.00494233937397035,0,0,0,0.0038061777192212,0,0.00195694716242661,0.00804020100502513,0.00229809586342745,0.00342231348391513,0.00501672240802676,0.0058252427184466,0.00480373318693385
"ARG",0.0421216848673947,0.033434650455927,0.00126742712294043,0,0.0129032258064516,0.0353418308227115,0.014365522745411,0,0.0493110949963742,0.0264244426094137,0.00408163265306122,0.180048661800487,0,0.00819672131147541,0.00139664804469274,0,0.0065252854812398,0.0159914712153518,0.00204290091930541,0.00171821305841924,0.0245901639344262,0.00324149108589951,0.0104873534855028,0.00693240901213172,0.0452127659574468,0.00526315789473684,0.0235294117647059,0.025462962962963,0.0417176413016883,0.00874069278083522,0.0354767184035477,0.0434037692747002,0.0221975582685905,0.0138217000691085,0.00490196078431373,0.0166852057842047,0.00344036697247706,0,0.0298701298701299,0.0036026762738034,0,0.000823723228995058,0,0,0,0.0127360562143171,0.043859649122807,0.00782778864970646,0.00703517587939699,0.0249507550886408,0.0143737166324435,0.00752508361204013,0.00388349514563107,0.0182541861103486
"ARM",0,0.00303951367781155,0,0,0,0,0.000798084596967279,0.00256081946222791,0.00217548948513416,0.000825763831544178,0,0.00364963503649635,0.00609756097560976,0,0,0,0.00244698205546493,0.00852878464818763,0,0.00171821305841924,0,0,0.0111042566317088,0,0.00797872340425532,0.00131578947368421,0,0.00231481481481481,0.00354783459750428,0.0074457753318226,0.000554323725055432,0.00171330668189606,0.0122086570477248,0,0.0065359477124183,0.00222469410456062,0.00114678899082569,0,0.00454545454545455,0.00669068450849202,0,0.00329489291598023,0,0,0,0.00219587176108915,0,0.00130463144161774,0.00100502512562814,0.00131319763624425,0.0027378507871321,0.00167224080267559,0.00194174757281553,0.00233324183365358
"AUL",0.0093603744149766,0.0182370820668693,0.0202788339670469,0.0355555555555556,0.00645161290322581,0.0480880648899189,0.0211492418196329,0.00128040973111396,0.0159535895576505,0.00990916597853014,0.0204081632653061,0.0024330900243309,0.00609756097560976,0.040983606557377,0.0474860335195531,0.0288461538461538,0.0448613376835237,0.0159914712153518,0.034729315628192,0.013745704467354,0.0122950819672131,0.0307941653160454,0.00740283775447255,0.0311958405545927,0.0132978723404255,0.00921052631578947,0.0294117647058824,0.0277777777777778,0.0222657205774407,0.0262220783425057,0.00997782705099778,0.00399771559109081,0.0199778024417314,0.0241879751209399,0.0212418300653595,0.0166852057842047,0.00229357798165138,0.0150375939849624,0.011038961038961,0.00720535254760679,0,0.00988467874794069,0.0131004366812227,0.0177514792899408,0.00595238095238095,0.0146391450739277,0.0339912280701754,0.00848010437051533,0.00703517587939699,0.0170715692711753,0.0123203285420945,0.00501672240802676,0.00194174757281553,0.0167444413944551
"AUS",0.0109204368174727,0.027355623100304,0.0481622306717364,0.0311111111111111,0.0258064516129032,0.018539976825029,0.0363128491620112,0.00256081946222791,0.0159535895576505,0.00908340214698596,0.0285714285714286,0.0072992700729927,0.00609756097560976,0.0327868852459016,0.0223463687150838,0,0.0228384991843393,0.0330490405117271,0.0449438202247191,0.00687285223367698,0,0.0259319286871961,0.0197409006785935,0.0502599653379549,0.0265957446808511,0.025,0.0764705882352941,0.0324074074074074,0.0166381208710546,0.0314017481385562,0.00720620842572062,0.00513992004568818,0.0355160932297447,0.00414651002073255,0.0163398692810458,0.00889877641824249,0.00229357798165138,0.0150375939849624,0.0194805194805195,0.00823468862583634,0.00784313725490196,0.0057660626029654,0.0174672489082969,0.029585798816568,0.0178571428571429,0.0209339774557166,0.0142543859649123,0.0182648401826484,0.0050251256281407,0.0239658568614576,0.00752908966461328,0.0183946488294314,0.054368932038835,0.0163326928355751
"AZE",0.0093603744149766,0,0.00126742712294043,0.0266666666666667,0,0.00289687137891078,0.00598563447725459,0.0153649167733675,0.0108774474256708,0.00495458298926507,0,0.0024330900243309,0.0121951219512195,0.00409836065573771,0.00279329608938547,0,0.00163132137030995,0.0106609808102345,0.00408580183861083,0.0412371134020619,0.0122950819672131,0.00648298217179903,0.0117211597779149,0.0103986135181976,0.0132978723404255,0.0144736842105263,0.0294117647058824,0.0138888888888889,0.00978712992414974,0.00582712852055681,0.0138580931263858,0.0137064534551685,0.00610432852386238,0.0172771250863856,0.0196078431372549,0.00778642936596218,0.0401376146788991,0.0112781954887218,0.0142857142857143,0.0138960370560988,0.0431372549019608,0.0131795716639209,0.00873362445414847,0,0.0119047619047619,0.00966183574879227,0,0.0123939986953686,0.0120603015075377,0.00787918581746553,0.0212183436002738,0.0217391304347826,0.0252427184466019,0.0144111995608015
"BAH",0,0.00303951367781155,0.00126742712294043,0.00888888888888889,0,0,0.00159616919393456,0.00512163892445583,0.0050761421319797,0.00247729149463253,0,0,0,0,0,0,0,0.00319829424307036,0,0.00343642611683849,0,0,0.00370141887723627,0,0,0.00131578947368421,0,0.00462962962962963,0.00110105211646685,0.00161864681126578,0.00277161862527716,0.00114220445459737,0.00388457269700333,0.00138217000691085,0.00490196078431373,0.00111234705228031,0.00344036697247706,0.0075187969924812,0.00584415584415584,0.00514668039114771,0.00392156862745098,0.014003294892916,0.0174672489082969,0,0,0.00351339481774264,0,0.000652315720808871,0.00100502512562814,0.000984898227183191,0.00616016427104723,0,0.00194174757281553,0.00494098270656053
"BEL",0.0124804992199688,0.00759878419452888,0.0164765525982256,0.0222222222222222,0.0129032258064516,0.0451911935110081,0.0147645650438947,0,0.00362581580855693,0.00165152766308836,0,0.0097323600973236,0,0.0163934426229508,0.0405027932960894,0.00961538461538462,0.033442088091354,0.0138592750533049,0.024514811031665,0.00171821305841924,0.00819672131147541,0.0356564019448947,0.0123380629241209,0.0190641247833622,0.0372340425531915,0.00263157894736842,0.00588235294117647,0.0208333333333333,0.0129679471494984,0.0181288442861768,0.00776053215077605,0.00228440890919475,0.0105438401775805,0.0055286800276434,0.011437908496732,0.0111234705228031,0.00458715596330275,0.0037593984962406,0.0103896103896104,0.00720535254760679,0.00784313725490196,0.0107084019769358,0.00436681222707424,0.0236686390532544,0,0.0146391450739277,0.0328947368421053,0.0136986301369863,0.00201005025125628,0.0128036769533815,0.0116358658453114,0.00501672240802676,0.0058252427184466,0.0142739500411749
"BFO",0.0015600624024961,0,0.00126742712294043,0,0.00645161290322581,0,0.000798084596967279,0.00256081946222791,0.00290065264684554,0.000825763831544178,0.00408163265306122,0.0048661800486618,0,0,0,0,0,0,0,0.00515463917525773,0,0,0.00246761258482418,0,0,0,0,0.00462962962962963,0.00513824321017861,0.00161864681126578,0.00997782705099778,0.0114220445459737,0.000554938956714761,0.0082930200414651,0.00326797385620915,0.00111234705228031,0.00344036697247706,0,0.00194805194805195,0.00308800823468863,0,0.000823723228995058,0,0.00591715976331361,0,0.00365978626848192,0,0.00260926288323549,0.0100502512562814,0.00262639527248851,0.00342231348391513,0.00501672240802676,0.00388349514563107,0.00205874279440022
"BHU",0,0,0.00380228136882129,0.00444444444444444,0,0,0.000399042298483639,0.0115236875800256,0.00435097897026831,0.000825763831544178,0,0,0.0121951219512195,0,0,0,0,0.00106609808102345,0,0.0103092783505155,0,0,0.00370141887723627,0,0,0,0.00588235294117647,0,0.000856373868363103,0.000647458724506313,0.0016629711751663,0.000571102227298686,0.00110987791342952,0.000691085003455425,0.00163398692810458,0.00222469410456062,0.00917431192660551,0,0,0.00720535254760679,0.00392156862745098,0.0057660626029654,0.00436681222707424,0.00591715976331361,0,0.00219587176108915,0,0.000652315720808871,0.00703517587939699,0.000328299409061064,0.00342231348391513,0.000836120401337793,0.0058252427184466,0.00247049135328026
"BLR",0.0124804992199688,0.00455927051671732,0.00760456273764259,0.00444444444444444,0.0387096774193548,0,0.00598563447725459,0.0140845070422535,0.00435097897026831,0.00825763831544178,0.00408163265306122,0.0048661800486618,0.00609756097560976,0.00409836065573771,0.00418994413407821,0,0,0.00319829424307036,0.00102145045965271,0.00687285223367698,0.00819672131147541,0.00162074554294976,0.000616903146206046,0.0190641247833622,0,0.00526315789473684,0.0117647058823529,0,0.00452654758991926,0.00258983489802525,0.0116407982261641,0.0177041690462593,0.00554938956714761,0,0.0130718954248366,0.0100111234705228,0.0126146788990826,0.0037593984962406,0.00844155844155844,0.0102933607822954,0.00784313725490196,0.014003294892916,0.00436681222707424,0,0.0119047619047619,0.0131752305665349,0.00109649122807018,0.0313111545988258,0.00301507537688442,0.00820748522652659,0.0670773442847365,0.00418060200668896,0.00194174757281553,0.0065879769420807
"BNG",0.0109204368174727,0.00151975683890578,0.00253485424588086,0,0,0,0,0.0332906530089629,0.0050761421319797,0.00990916597853014,0,0,0.0426829268292683,0,0,0,0.00407830342577488,0.0138592750533049,0.00306435137895812,0.00515463917525773,0.040983606557377,0,0.00185070943861814,0.00693240901213172,0.00265957446808511,0.0105263157894737,0.00588235294117647,0,0.000856373868363103,0.00129491744901263,0.00609756097560976,0.0256996002284409,0.0172031076581576,0.00483759502418798,0.00326797385620915,0.0166852057842047,0.0504587155963303,0.0075187969924812,0.0194805194805195,0.0138960370560988,0.0274509803921569,0.0156507413509061,0.00436681222707424,0,0.0178571428571429,0.00702678963548529,0.00109649122807018,0.00130463144161774,0.0592964824120603,0.000984898227183191,0.00958247775496235,0.00585284280936455,0.00388349514563107,0.0100192149327477
"BOL",0.0015600624024961,0,0.00506970849176172,0.00444444444444444,0,0.000579374275782155,0.00119712689545092,0.00384122919334187,0.00145032632342277,0.00330305532617671,0.00408163265306122,0.00121654501216545,0.0304878048780488,0,0.00139664804469274,0.0192307692307692,0,0,0,0.00859106529209622,0,0,0.00308451573103023,0.00173310225303293,0.00265957446808511,0.05,0,0.00694444444444444,0.00636163445069733,0.00161864681126578,0.00443458980044346,0.00799543118218161,0.00277469478357381,0.00345542501727713,0.0065359477124183,0.0189098998887653,0.00573394495412844,0,0.00909090909090909,0.00669068450849202,0.0196078431372549,0.00494233937397035,0.00436681222707424,0.00591715976331361,0.0535714285714286,0.00131752305665349,0,0.00260926288323549,0.00603015075376884,0.000984898227183191,0.0027378507871321,0.00250836120401338,0.00388349514563107,0.00247049135328026
"BOT",0.0015600624024961,0.0060790273556231,0.00126742712294043,0.00888888888888889,0,0,0.000399042298483639,0.00128040973111396,0.00145032632342277,0.00165152766308836,0.00408163265306122,0,0,0,0.00139664804469274,0.00961538461538462,0.0032626427406199,0.00319829424307036,0.00102145045965271,0,0.0245901639344262,0.00162074554294976,0.00246761258482418,0.00693240901213172,0.00531914893617021,0,0,0.00231481481481481,0.00220210423293369,0.00615085788280997,0.000554323725055432,0,0.00221975582685905,0.00207325501036628,0.00326797385620915,0,0.00573394495412844,0.0037593984962406,0.00519480519480519,0.000514668039114771,0,0.00164744645799012,0,0,0,0.00336700336700337,0,0.00195694716242661,0.00904522613065327,0.00426789231779383,0.00616016427104723,0.00501672240802676,0,0.00343123799066703
