"","V1","V2"
"AFG","AFG","107"
"ALB","ALB","113"
"ALG","ALG","1494"
"ANG","ANG","219"
"ARG","ARG","1544"
"ARM","ARM","205"
"AUL","AUL","1259"
"AUS","AUS","1374"
"AZE","AZE","798"
"BAH","BAH","261"
"BEL","BEL","959"
"BFO","BFO","235"
"BHU","BHU","166"
"BLR","BLR","615"
"BNG","BNG","589"
"BOL","BOL","308"
"BOT","BOT","200"
"BRA","BRA","1632"
"BUL","BUL","119"
"CAM","CAM","167"
"CAN","CAN","2240"
"CAP","CAP","135"
"CDI","CDI","184"
"CHA","CHA","181"
"CHL","CHL","1228"
"CHN","CHN","484"
"COL","COL","233"
"CON","CON","131"
"COS","COS","599"
"CUB","CUB","763"
"CYP","CYP","137"
"CZR","CZR","1451"
"DEN","DEN","492"
"DJI","DJI","339"
"DRC","DRC","136"
"DRV","DRV","531"
"ECU","ECU","846"
"EGY","EGY","1096"
"EST","EST","430"
"ETH","ETH","142"
"ETM","ETM","127"
"FIN","FIN","480"
"FRN","FRN","2413"
"GAB","GAB","116"
"GHA","GHA","520"
"GMY","GMY","1302"
"GRC","GRC","270"
"GUA","GUA","278"
"HON","HON","154"
"HUN","HUN","960"
"IND","IND","225"
"INS","INS","769"
"IRE","IRE","721"
"IRN","IRN","904"
"IRQ","IRQ","269"
"ISR","ISR","436"
"ITA","ITA","1170"
"JOR","JOR","286"
"JPN","JPN","507"
"KUW","KUW","214"
"KYR","KYR","189"
"KZK","KZK","175"
"LAT","LAT","246"
"LEB","LEB","158"
"LIB","LIB","266"
"LIE","LIE","214"
"LIT","LIT","200"
"LUX","LUX","239"
"MAD","MAD","490"
"MAL","MAL","1038"
"MEX","MEX","1973"
"MLD","MLD","329"
"MNG","MNG","230"
"MOR","MOR","646"
"MYA","MYA","116"
"NAM","NAM","201"
"NEP","NEP","106"
"NEW","NEW","523"
"NIC","NIC","353"
"NIG","NIG","352"
"NIR","NIR","111"
"NOR","NOR","1809"
"NTH","NTH","1291"
"OMA","OMA","149"
"PAK","PAK","492"
"PAP","PAP","416"
"PAR","PAR","284"
"PER","PER","234"
"PHI","PHI","792"
"PLST","PLST","413"
"POL","POL","645"
"POR","POR","946"
"QAT","QAT","251"
"ROK","ROK","668"
"ROM","ROM","244"
"RUS","RUS","621"
"RWA","RWA","194"
"SAF","SAF","455"
"SAU","SAU","254"
"SEN","SEN","261"
"SIE","SIE","381"
"SIN","SIN","315"
"SLO","SLO","1274"
"SLV","SLV","1656"
"SPN","SPN","2416"
"SRI","SRI","433"
"SUD","SUD","317"
"SWD","SWD","991"
"SWZ","SWZ","1229"
"SYR","SYR","132"
"THI","THI","753"
"TKM","TKM","103"
"TOG","TOG","228"
"TRI","TRI","210"
"TUN","TUN","613"
"TUR","TUR","705"
"UAE","UAE","144"
"UGA","UGA","105"
"UKG","UKG","1533"
"UKR","UKR","188"
"URU","URU","1567"
"USA","USA","1359"
"UZB","UZB","309"
"VEN","VEN","461"
"YEM","YEM","102"
"ZIM","ZIM","132"
