"","From_COW","freq","Proportions"
"1","AFG",75,0.00182632834948619
"2","ALB",48,0.00116885014367116
"3","ALG",844,0.0205522816928846
"4","ANG",143,0.00348219938635367
"5","ARG",761,0.0185311449861199
"6","ARM",126,0.0030682316271368
"7","AUL",691,0.0168265718599328
"8","AUS",772,0.0187990064773779
"9","AZE",474,0.0115423951687527
"10","BAH",113,0.0027516680465592
"11","BAR",5,0.00012175522329908
"12","BEL",545,0.0132713193395997
"13","BEN",60,0.00146106267958895
"14","BFO",116,0.00282472118053865
"15","BHU",84,0.00204548775142454
"16","BLR",309,0.00752447279988312
"17","BNG",345,0.00840111040763649
"18","BOL",192,0.00467540057468465
"19","BOS",60,0.00146106267958895
"20","BOT",111,0.00270296595723957
"21","BRA",908,0.0221107485511128
"22","BRU",39,0.00094969074173282
"23","BUI",55,0.00133930745628987
"24","BUL",64,0.00155846685822822
"25","CAM",87,0.00211854088540398
"26","CAN",1231,0.0299761359762334
"27","CAO",11,0.000267861491257975
"28","CAP",63,0.0015341158135684
"29","CDI",114,0.00277601909121901
"30","CEN",15,0.000365265669897239
"31","CHA",106,0.00258121073394049
"32","CHL",657,0.0159986363414991
"33","CHN",239,0.005819899673696
"34","COL",101,0.00245945551064141
"35","COM",11,0.000267861491257975
"36","CON",69,0.0016802220815273
"37","COS",279,0.00679394146008864
"38","CRO",40,0.000974041786392636
"39","CUB",470,0.0114449909901135
"40","CYP",66,0.00160716894754785
"41","CZR",735,0.0178980178249647
"42","DEN",269,0.00655043101349048
"43","DJI",208,0.00506501728924171
"44","DOM",28,0.000681829250474845
"45","DRC",89,0.00216724297472362
"46","DRV",236,0.00574684653971655
"47","ECU",381,0.00927774801538986
"48","EGY",632,0.0153898602250037
"49","EQG",13,0.000316563580577607
"50","ERI",19,0.000462669848536502
"51","EST",196,0.00477280475332392
"52","ETH",90,0.00219159401938343
"53","ETM",71,0.00172892417084693
"54","FIN",254,0.00618516534359324
"55","FRN",1289,0.0313884965665027
"56","GAB",53,0.00129060536697024
"57","GHA",273,0.00664783519212974
"58","GMY",713,0.0173622948424487
"59","GRC",185,0.00450494326206594
"60","GRG",9,0.000219159401938343
"61","GUA",129,0.00314128476111625
"62","HAI",39,0.00094969074173282
"63","HON",78,0.00189938148346564
"64","HUN",542,0.0131982662056202
"65","ICE",32,0.000779233429114109
"66","IND",145,0.00353090147567331
"67","INS",432,0.0105196512930405
"68","IRE",395,0.00961866264062728
"69","IRN",499,0.0121511712852481
"70","IRQ",152,0.00370135878829202
"71","ISR",193,0.00469975161934447
"72","ITA",662,0.0161203915647981
"73","JAM",13,0.000316563580577607
"74","JOR",192,0.00467540057468465
