"source","target","value"
"ATG","DZA",2
"ATG","ARG",3
"ATG","AUS",2
"ATG","BRA",6
"ATG","CAN",4
"ATG","CHL",3
"ATG","CUB",2
"ATG","ECU",3
"ATG","FRA",6
"ATG","DEU",2
"ATG","HUN",6
"ATG","IDN",4
"ATG","ISR",3
"ATG","LVA",1
"ATG","MDV",3
"ATG","MEX",3
"ATG","MAR",4
"ATG","NIC",2
"ATG","SVK",4
"ATG","SVN",3
"ATG","ESP",9
"ATG","TTO",2
"ATG","GBR",4
"ATG","URY",6
"ATG","USA",2
"ATG","VEN",1
"AFG","ALB",1
"AFG","DZA",6
"AFG","ARG",7
"AFG","AUS",7
"AFG","AUT",9
"AFG","AZE",5
"AFG","BHR",4
"AFG","BEL",7
"AFG","BTN",3
"AFG","BGD",2
"AFG","BRA",6
"AFG","CAN",8
"AFG","CHL",3
"AFG","CHN",1
"AFG","COM",2
"AFG","HRV",4
"AFG","CUB",2
"AFG","CZE",13
"AFG","DNK",6
"AFG","DJI",2
"AFG","VNM",3
"AFG","ECU",2
"AFG","EGY",7
"AFG","EST",3
"AFG","ETH",4
"AFG","FIN",6
"AFG","FRA",12
"AFG","DEU",7
"AFG","GRC",4
"AFG","HUN",9
"AFG","ISL",2
"AFG","IND",2
"AFG","IDN",4
"AFG","IRL",4
"AFG","IRN",8
"AFG","IRQ",3
"AFG","ITA",5
"AFG","JOR",4
"AFG","JPN",5
"AFG","KWT",2
"AFG","KGZ",2
"AFG","KAZ",2
"AFG","LVA",4
"AFG","LBN",1
"AFG","LTU",3
"AFG","MRT",1
"AFG","MKD",1
"AFG","MDV",3
"AFG","MYS",5
"AFG","MEX",7
"AFG","MNE",2
"AFG","MAR",5
"AFG","NPL",3
"AFG","NZL",9
"AFG","NIC",1
"AFG","NGA",1
"AFG","NOR",8
"AFG","NLD",6
"AFG","PAK",3
"AFG","PHL",4
"AFG",NA,3
"AFG","POL",5
"AFG","PRT",3
"AFG","QAT",2
"AFG","KOR",4
"AFG","ROU",2
"AFG","RUS",2
"AFG","ZAF",1
"AFG","SAU",4
"AFG","SGP",3
"AFG","SVK",4
"AFG","SVN",4
"AFG","ESP",12
"AFG","LKA",3
"AFG","SSD",1
"AFG","SDN",2
"AFG","SWE",8
"AFG","CHE",8
"AFG","TJK",2
"AFG","THA",2
"AFG","TKM",3
"AFG","TUN",3
"AFG","TUR",2
"AFG","ARE",1
"AFG","GBR",6
"AFG","URY",5
"AFG","USA",8
