country,review1,review2,report1,report2
Afghanistan,2009,2014,2009,2014
Albania,2009,2014,2010,2014
Algeria,2008,2012,2008,2012
Andorra,2010,2015,2011,.
Angola,2010,2014,2010,2014
Antigua and Barbuda,2011,2016,2011,.
Argentina,2008,2012,2008,2012
Armenia,2010,2015,2010,.
Australia,2011,2015,2011,.
Austria,2011,2015,2011,.
Azerbaijan,2009,2013,2009,2013
Bahamas,2008,2013,2009,2013
Bahrain,2008,2012,2008,2012
Bangladesh,2009,2013,2009,2013
Barbados,2008,2013,2009,2013
Belarus,2010,2015,2010,.
Belgium,2011,2016,2011,.
Belize,2009,2013,2009,2013
Benin,2008,2012,2008,2012
Bhutan,2009,2014,2010,2014
Bolivia,2010,2014,2010,2014
Bosnia and Herzegovina,2010,2014,2010,2014
Botswana,2008,2013,2009,2013
Brazil,2008,2012,2008,2012
Brunei Darussalam,2009,2014,2010,2014
Bulgaria,2010,2015,2011,.
Burkina Faso,2008,2013,2009,2013
Burundi,2008,2013,2009,2013
Cambodia,2009,2014,2010,2014
Cameroon,2009,2013,2009,2013
Canada,2009,2013,2009,2013
Cape Verde,2008,2013,2009,2013
Central African Republic,2009,2013,2009,2013
Chad,2009,2013,2009,2013
Chile,2009,2014,2009,2014
China,2009,2013,2009,2013
Colombia,2008,2013,2009,2013
Comoros,2009,2014,2009,2014
Congo,2009,2013,2009,2013
Costa Rica,2009,2014,2010,2014
Cote d'Ivoire,2009,2014,2010,2014
Croatia,2010,2015,2011,.
Cuba,2009,2013,2009,2013
Cyprus,2009,2014,2010,2014
Czech Republic,2008,2012,2008,2012
Democratic People's Republic of Korea,2009,2014,2010,2014
Democratic Republic of the Congo,2009,2014,2010,2014
Denmark,2011,2016,2011,.
Djibouti,2009,2013,2009,2013
Dominica,2009,2014,2010,2014
Dominican Republic,2009,2014,2010,2014
Ecuador,2008,2012,2008,2012
Egypt,2010,2014,2010,2014
El Salvador,2010,2014,2010,2014
Equatorial Guinea,2009,2014,2010,.
Eritrea,2009,2014,2010,2014
Estonia,2011,2016,2011,.
Ethiopia,2009,2014,2010,2014
Fiji,2010,2014,2010,2014
Finland,2008,2012,2008,2012
France,2008,2013,2008,2013
Gabon,2008,2012,2008,2012
Gambia,2010,2014,2010,2014
Georgia,2011,2015,2011,.
Germany,2009,2013,2009,2013
Ghana,2008,2012,2008,2012
Greece,2011,2016,2011,.
Grenada,2010,2015,2010,.
Guatemala,2008,2012,2008,2012
Guinea,2010,2015,2010,2014
Guinea-Bissau,2010,2015,2010,.
Guyana,2010,2015,2010,.
Haiti,2010,2016,2011,.
Honduras,2010,2015,2011,.
Hungary,2011,2016,2011,
Iceland,2011,2016,2011,
India,2008,2012,2008,2012
Indonesia,2008,2012,2008,2012
Iran (Islamic Republic of),2010,2014,2010,2014
Iraq,2010,2014,2010,2014
Ireland,2011,2016,2011,.
Israel,2008,2013,2009,2013
Italy,2010,2014,2010,2014
Jamaica,2010,2015,2011,.
Japan,2008,2012,2008,2012
Jordan,2009,2013,2009,2013
Kazakhstan,2010,2014,2010,2014
Kenya,2010,2015,2010,.
Kiribati,2010,2015,2010,.
Kuwait,2010,2015,2010,.
Kyrgyzstan,2010,2015,2010,.
Lao People's Democratic Republic,2010,2015,2010,.
Latvia,2011,2016,2011,.
Lebanon,2010,2015,2011,.
Lesotho,2010,2015,2010,.
Liberia,2010,2015,2011,.
Libyan Arab Jamahiriya,2010,2015,2011,.
Liechtenstein,2008,2013,2009,2013
Lithuania,2011,2016,2011,.
Luxembourg,2008,2013,2009,2013
Madagascar,2010,2014,2010,2014
Malawi,2010,2015,2011,.
Malaysia,2009,2013,2009,2013
Maldives,2010,2015,2011,.
Mali,2008,2013,2008,2013
Malta,2009,2013,2009,2013
Marshall Islands,2010,2015,2011,.
Mauritania,2010,2015,2011,.
Mauritius,2009,2013,2009,2013
Mexico,2009,2013,2009,2013
Micronesia (Federated States of),2010,2015,2011,.
Moldova,2011,2016,2011,.
Monaco,2009,2013,2009,2013
Mongolia,2010,2015,2011,.
Montenegro,2008,2013,2009,2013
Morocco,2008,2012,2008,2012
Mozambique,2011,2016,2011,.
Myanmar,2011,2015,2011,.
Namibia,2011,2016,2011,.
Nauru,2011,2015,2011,.
Nepal,2011,2015,2011,.
Netherlands,2008,2012,2008,2012
New Zealand,2009,2014,2009,2014
Nicaragua,2010,2014,2010,2014
Niger,2011,2016,2011,.
Nigeria,2009,2013,2009,2013
Norway,2009,2014,2010,2014
Oman,2011,2015,2011,.
Pakistan,2008,2012,2008,2012
Palau,2011,2016,2011,.
Panama,2010,2015,2011,.
Papua New Guinea,2011,2016,2011,.
Paraguay,2011,2016,2011,.
Peru,2008,2012,2008,2012
Philippines,2008,2012,2008,2012
Poland,2008,2012,2008,2012
Portugal,2009,2014,2010,2014
Qatar,2010,2014,2010,2014
Republic of Korea,2008,2012,2008,2012
Romania,2008,2013,2008,2013
Russian Federation,2009,2013,2009,2013
Rwanda,2011,2015,2011,.
Saint Kitts and Nevis,2011,2015,2011,.
Saint Lucia,2011,2015,2011,.
Saint Vincent and the Grenadines,2011,2016,2011,.
Samoa,2011,2016,2011,.
San Marino,2010,2014,2010,2014
Sao Tome and Principe,2011,2015,2011,
Saudi Arabia,2009,2013,2009,2013
