To,To-Rgrp,To-Org,Text,From,From-Rgrp,From-Org,Response,Action,Issue,Session
Argentina,GRULAC,"OAS, OEI",Ratify the new optional protocol to the Convention on the Rights of the Child,Portugal,WEOG,"EU, OEI",Accepted,5,"International instruments,Rights of the Child",14
Argentina,GRULAC,"OAS, OEI",Accede to/ratify the 1961 Convention on the Reduction of Statelessness,Hungary,EEG,EU,Accepted,5,International instruments,14
Argentina,GRULAC,"OAS, OEI",Accede to/ratify the 1961 Convention on the Reduction of Statelessness,Portugal,WEOG,"EU, OEI",Accepted,5,International instruments,14
Argentina,GRULAC,"OAS, OEI",Accede to/ratify the 1961 Convention on the Reduction of Statelessness,Iraq,Asia,"OIC, AL",Accepted,5,International instruments,14
Argentina,GRULAC,"OAS, OEI",Consider the possibility of ratifying the ILO Convention 189,Uruguay,GRULAC,"OAS, OEI",Accepted,3,"International instruments,Labour",14
Argentina,GRULAC,"OAS, OEI",Consider the possibility of ratifying the WHO Framework Convention on Tobacco Control,Uruguay,GRULAC,"OAS, OEI",Accepted,3,"International instruments,Right to health",14
Argentina,GRULAC,"OAS, OEI",Continue to strengthen laws and legislation which relate to human rights,Oman,Asia,"OIC, AL",Accepted,2,General,14
Argentina,GRULAC,"OAS, OEI",Conclude the process leading to the adoption of the bill which seeks to incorporate femicide in the Criminal Code,Peru,GRULAC,"OAS, OEI",Accepted,5,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Continue to improve its domestic framework for the empowerment of women,Singapore,Asia,"ASEAN, Commonwealth",Accepted,2,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Transpose thoroughly and implement child legislation at the provincial level,Portugal,WEOG,"EU, OEI",Accepted,5,Rights of the Child,14
Argentina,GRULAC,"OAS, OEI","Continue to ensure that the laws at the provincial and national levels are consistent with international human rights law standards, and are effectively implemented",South Africa,Africa,"AU, Commonwealth",Accepted,2,International instruments,14
Argentina,GRULAC,"OAS, OEI","Consider the request put forward by the Federal Council for Children, Adolescent and the Family to adjust the provincial procedural legislation for the establishment of non-custodial measures",Chile,GRULAC,"OAS, OEI",Accepted,3,"Detention,Rights of the Child",14
Argentina,GRULAC,"OAS, OEI","Establish and appoint an Ombudsman on the rights of girls, boys and adolescents",Honduras,GRULAC,"OAS, OEI, ACS",Accepted,5,"NHRI,Rights of the Child",14
Argentina,GRULAC,"OAS, OEI","Establish and appoint an Ombudsman on the rights of girls, boys and adolescents",Russian Federation,EEG,CIS,Accepted,5,"NHRI,Rights of the Child",14
Argentina,GRULAC,"OAS, OEI","Establish and appoint an Ombudsman on the rights of girls, boys and adolescents",Trinidad & Tobago,GRULAC,"OAS, ACS, Commonwealth",Accepted,5,"NHRI,Rights of the Child",14
Argentina,GRULAC,"OAS, OEI","Establish the national mechanism for the prevention of torture, in accordance with OP-CAT",Brazil,GRULAC,"OAS, OEI",Accepted,5,"Detention,International instruments,Torture and other CID treatment",14
Argentina,GRULAC,"OAS, OEI",Continue its efforts to promptly complete the legal procedures to establish a National Preventive Mechanism,Honduras,GRULAC,"OAS, OEI, ACS",Accepted,2,Torture and other CID treatment,14
Argentina,GRULAC,"OAS, OEI",Step up its efforts to complete the process of setting up the national mechanism for the prevention of torture and thus confirm its regional leadership in this respect,Tunisia,Africa,"AU, OIC, AL, OIF",Accepted,4,Torture and other CID treatment,14
Argentina,GRULAC,"OAS, OEI","Establish a national mechanism for implementation of OP-CAT, including through securing Senate approval in 2012",United Kingdom,WEOG,"EU, Commonwealth",Accepted,5,"Detention,International instruments,Torture and other CID treatment",14
Argentina,GRULAC,"OAS, OEI",Lobby for the passage of and implement legislation creating a national mechanism to prevent torture,United States,WEOG,OAS,Accepted,5,Torture and other CID treatment,14
Argentina,GRULAC,"OAS, OEI",Continue to implement programmes and measures intended to guarantee the right to health and the right to education,Cuba,GRULAC,"OAS, OEI, ACS",Accepted,2,"Right to education,Right to health",14
Argentina,GRULAC,"OAS, OEI",Continue efforts to provide attention to the most disadvantaged sectors,Cuba,GRULAC,"OAS, OEI, ACS",Accepted,2,General,14
Argentina,GRULAC,"OAS, OEI","Renew its efforts to protect vulnerable groups, particularly persons with disabilities, women and children",Iraq,Asia,"OIC, AL",Accepted,2,"Disabilities,Rights of the Child,Women's rights",14
Argentina,GRULAC,"OAS, OEI",Continue to intensify its efforts to achieve MDG 5 by the given deadline,Pakistan,Asia,"OIC, Commonwealth",Accepted,2,"Right to health,Women's rights",14
Argentina,GRULAC,"OAS, OEI","Continue the effective implementation of the initiative known as ""Towards a National Plan to Combat Discrimination""",Armenia,EEG,"CIS, OIF",Accepted,2,National plan of action,14
Argentina,GRULAC,"OAS, OEI",Continue to cooperate with the special procedures of the Human Rights Council in investigating cases of enforced and involuntary disappearances,Belarus,EEG,CIS,Accepted,2,"Enforced disappearances,Special procedures",14
Argentina,GRULAC,"OAS, OEI",Undertake an inclusive process with a wide range of civil society representatives when implementing the UPR recommendations,Norway,WEOG,,Accepted,4,"Civil society,UPR process",14
Argentina,GRULAC,"OAS, OEI",Reinforce the institutional mechanisms and establish planning instruments for ensuring equality between women and men,Bulgaria,EEG,"EU, OIF",Accepted,4,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Step up the efforts to combat discrimination against women at all levels,Moldova,EEG,"CIS, OIF",Accepted,4,Women's rights,14
Argentina,GRULAC,"OAS, OEI","Step up the efforts to combat discrimination against women at all levels, including by reinforcing the institutional mechanisms and establishing planning instruments for ensuring equality ",Indonesia,Asia,"ASEAN, OIC",Accepted,4,Women's rights,14
Argentina,GRULAC,"OAS, OEI","Consider the possibility of making amendments to legislation aimed at strengthening equality for women and men, as well as consider the question of adopting legislation to ensure equality of rights and opportunities, including in the area of access to vocational training",Uzbekistan,Asia,"OIC, CIS",Accepted,3,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Define racial discrimination as an offence in domestic law in keeping with CERD's observation in 2010,Trinidad & Tobago,GRULAC,"OAS, ACS, Commonwealth",Noted,5,"Racial discrimination,Treaty bodies",14
Argentina,GRULAC,"OAS, OEI",Define racial discrimination as an offence in domestic law in keeping with CERD's observation in 2010 and implement the recommendation of CERD to step up efforts to recognize itself as a multi-ethnic State,South Africa,Africa,"AU, Commonwealth",Noted,5,"Racial discrimination,Treaty bodies",14
Argentina,GRULAC,"OAS, OEI","Study the possibility of adopting new measures to strengthen the fight against discrimination, particularly with regards to persons of African descent",Tunisia,Africa,"AU, OIC, AL, OIF",Noted,3,"Minorities,Racial discrimination",14
Argentina,GRULAC,"OAS, OEI",Continue to implement measures to fill whatever protection gaps regarding persons of African-descent,Nicaragua,GRULAC,"OAS, OEI, ACS",Accepted,2,Minorities,14
Argentina,GRULAC,"OAS, OEI",Include Afro-Argentinians to reflect the historical memory of Afro- Argentinians,South Africa,Africa,"AU, Commonwealth",Accepted,4,Minorities,14
Argentina,GRULAC,"OAS, OEI","Continue its work to combat discrimination against vulnerable sectors and against all forms of discrimination, while encouraging the application of affirmative action policies for indigenous peoples and the migrant population",Bolivia,GRULAC,"OAS, OEI",Accepted,2,"Indigenous peoples,Migrants,Racial discrimination",14
Argentina,GRULAC,"OAS, OEI",Continue its efforts to eradicate any form of discrimination against older persons,Brazil,GRULAC,"OAS, OEI",Accepted,2,Other,14
Argentina,GRULAC,"OAS, OEI","Strengthen human rights education and training programmes for the police and law enforcement forces, in particular those working in penitentiary establishments",Costa Rica,GRULAC,"OAS, OEI, ACS",Accepted,4,Human rights education and training,14
Argentina,GRULAC,"OAS, OEI","Ensure that all allegations of excessive use of force, torture and cruel and other forms of ill treatment, including in detention places and prisons, committed by law enforcement personnel are thoroughly and objectively investigated, bringing alleged perpetrators to justice and providing appropriate remedies to victims",Belarus,EEG,CIS,Accepted,4,"Detention,Human rights violations by state agents,Torture and other CID treatment",14
Argentina,GRULAC,"OAS, OEI","Ensure that all allegations of excessive use of force, torture and cruel and other forms of ill treatment, including in detention places and prisons, committed by law enforcement personnel are thoroughly and objectively investigated, bringing alleged perpetrators to justice and providing appropriate remedies to victims ",Slovakia,EEG,EU,Accepted,4,"Detention,Human rights violations by state agents,Torture and other CID treatment",14
Argentina,GRULAC,"OAS, OEI","Ensure that all allegations of excessive use of force, torture and cruel and other forms of ill treatment, including in detention places and prisons, committed by law enforcement personnel are thoroughly and objectively investigated, bringing alleged perpetrators to justice and providing appropriate remedies to victims ",Tunisia,Africa,"AU, OIC, AL, OIF",Accepted,4,"Detention,Human rights violations by state agents,Torture and other CID treatment",14
Argentina,GRULAC,"OAS, OEI","Ensure that all allegations of excessive use of force, torture and cruel and other forms of ill treatment, including in detention places and prisons, committed by law enforcement personnel are thoroughly and objectively investigated, bringing alleged perpetrators to justice and providing appropriate remedies to victims ",Austria,WEOG,EU,Accepted,4,"Detention,Human rights violations by state agents,Torture and other CID treatment",14
Argentina,GRULAC,"OAS, OEI","Continue to improve conditions in the country's prisons and detention facilities, especially in provincial detention facilities",Germany,WEOG,EU,Noted,2,Detention,14
Argentina,GRULAC,"OAS, OEI","Continue with the improvement of conditions in all prisons and detention facilities to ensure compliance with international standards, including the United Nations Standard Minimum Rules for the Treatment of Prisoners",Hungary,EEG,EU,Accepted,2,Detention,14
Argentina,GRULAC,"OAS, OEI",Continue its efforts specifically with regard to over-crowding of prisons and prison violence,India,Asia,Commonwealth,Accepted,2,Detention,14
Argentina,GRULAC,"OAS, OEI","Review the functioning of the penitentiary system in order to ensure that it complies with international standards, including through the prevention and punishment of torture and other cruel or inhuman treatment",Mexico,GRULAC,"OAS, OEI, ACS",Accepted,3,Detention,14
Argentina,GRULAC,"OAS, OEI",Pursue its efforts to combat overcrowding in prisons,Morocco,Africa,"OIC, AL, OIF",Accepted,4,Detention,14
Argentina,GRULAC,"OAS, OEI",Improve conditions in prisons and detention centres to comply with international standards,Slovakia,EEG,EU,Accepted,4,Detention,14
Argentina,GRULAC,"OAS, OEI",Improve prison conditions and adopt concrete measures to eliminate overcrowding in compliance with international standards,Slovenia,EEG,EU,Accepted,4,Detention,14
Argentina,GRULAC,"OAS, OEI","Improve the penitentiary system conditions, combatting overcrowding and acts of prison violence, and promoting human rights training for penitentiary officers",Spain,WEOG,"EU, OEI",Accepted,4,"Detention,Human rights education and training",14
Argentina,GRULAC,"OAS, OEI",Continue its efforts to ensure a treatment of detainees that is in accordance with international norms and standards,Switzerland,WEOG,OIF,Accepted,2,Detention,14
Argentina,GRULAC,"OAS, OEI",Continue its efforts towards improving prison conditions in the country,Algeria,Africa,"AU, OIC, AL",Accepted,2,Detention,14
Argentina,GRULAC,"OAS, OEI","Improve conditions in all prisons and other detention facilities to ensure compliance with international standards, including the UN Standard Minimum Rules for the Treatment of Prisoners and further effectively address the issue of prison overcrowding",Austria,WEOG,EU,Accepted,4,Detention,14
Argentina,GRULAC,"OAS, OEI","Design and implement policies for access to justice for victims of domestic violence, including free and extensive services providing legal and psychological support, as well as shelters",Costa Rica,GRULAC,"OAS, OEI, ACS",Accepted,5,"Rights of the Child,Women's rights",14
Argentina,GRULAC,"OAS, OEI","Implement effectively the legislation on violence against women to combat misogynous stereotypes, discrimination and violence whose victims are women",France,WEOG,"EU, OIF",Accepted,5,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Pursue and enhance its efforts to better address and respond to the problem of domestic violence,Greece,WEOG,"EU, OIF",Accepted,4,"Rights of the Child,Women's rights",14
Argentina,GRULAC,"OAS, OEI",Pursue and enhance its efforts to better address and respond to the problem of domestic violence,Morocco,Africa,"OIC, AL, OIF",Accepted,4,"Rights of the Child,Women's rights",14
Argentina,GRULAC,"OAS, OEI",Analyse the causes of the perceived impunity of perpetrators of violence against women and allocate funds and personnel to overcome these causes,Netherlands,WEOG,EU,Accepted,3,"Impunity,Women's rights",14
Argentina,GRULAC,"OAS, OEI",Develop further the united register for cases regarding domestic violence against women to create a full body of statistics regarding gender based violence throughout the entire country,Norway,WEOG,,Accepted,4,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Take measures to ensure effective implementation of legislation to prevent and punish violence against women,Palestine,Observer,"OIC, AL",Noted,4,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Collect and disaggregate data on violence against women so as to ensure a better assessment about the implementation of applicable legislation,Palestine,Observer,"OIC, AL",Accepted,5,Women's rights,14
Argentina,GRULAC,"OAS, OEI",Establish or give a mandate to a Government body to collect and publish credible official data measuring all incidences of violence against women,United Kingdom,WEOG,"EU, Commonwealth",Noted,5,Women's rights,14
